round,accuracy,elapsed_time,comm_time,round_time
1,0.07457907612606131,115.00000047683716,0,115
2,0.0767136758286564,350.00000047683716,0,350
3,0.07803281047632753,405.00000047683716,0,350
4,0.10186117906653236,465.00000047683716,0,350
5,0.13000671559456997,650.0000004768372,0,350
6,0.16171391567131962,755.0000004768372,0,350
7,0.16701443852832543,815.0000004768372,0,350
8,0.20384227946467118,1000.0000004768372,0,350
9,0.20788362833980908,1105.0000004768372,0,350
10,0.2352856526118866,1165.0000004768372,0,350
11,0.26675301002542334,1255.0000004768372,0,350
12,0.27247325754305174,1515.0000004768372,0,350
13,0.2990238403607234,1605.0000004768372,0,350
14,0.31547704705713053,1660.0000004768372,0,350
15,0.32746918021777716,1840.0000004768372,0,235
16,0.3363433587566556,1955.0000004768372,0,350
17,0.35548280328104764,2010.0000004768372,0,350
18,0.3706528517292656,2065.000000476837,0,350
19,0.36945363841320095,2150.000000476837,0,140
20,0.38434786779872404,2225.000000476837,0,350
21,0.4078284645272701,2295.000000476837,0,195
22,0.4245215138868902,2415.000000476837,0,350
23,0.43067347819830193,2500.000000476837,0,350
24,0.44735453542476133,2645.000000476837,0,350
25,0.4536623974672615,2765.000000476837,0,350
26,0.44807406341440015,2840.000000476837,0,350
27,0.47894181416990456,2905.000000476837,0,350
28,0.5,2960.000000476837,0,150
29,0.45100014390559795,3015.000000476837,0,350
30,0.5227370844725859,3070.000000476837,0,90
31,0.5003237875953375,3135.000000476837,0,150
32,0.5274619849378808,3190.000000476837,0,350
33,0.5185518299995203,3250.000000476837,0,235
34,0.5257351177627476,3305.000000476837,0,110
35,0.5184558929342351,3360.000000476837,0,155
36,0.5007075358564782,3415.000000476837,0,350
37,0.5008514414544059,3470.000000476837,0,350
38,0.5334700436513647,3525.000000476837,0,120
39,0.5747229817239891,3580.000000476837,0,225
40,0.5389864249052622,3635.000000476837,0,150
41,0.5551638125389744,3695.000000476837,0,65
42,0.5679234422219024,3765.000000476837,0,350
43,0.5408931740778049,3835.000000476837,0,350
44,0.5707415935146544,3890.000000476837,0,350
45,0.5748309109224349,3945.000000476837,0,350
46,0.5845805151820406,4000.000000476837,0,350
47,0.5831894277354056,4055.000000476837,0,350
48,0.5748548951887562,4110.000000476837,0,60
49,0.5882381157960378,4245.000000476837,0,350
50,0.5293927183767448,4305.000000476837,0,350
51,0.5637741641483187,4360.000000476837,0,350
52,0.5945579699716985,4415.000000476837,0,350
53,0.5907564637597736,4470.000000476837,0,350
54,0.5727682640188037,4525.000000476837,0,90
55,0.5775291408835803,4595.000000476837,0,140
56,0.5831774356022449,4670.000000476837,0,155
57,0.5982875233846596,4730.000000476837,0,350
58,0.6021010217297453,4785.000000476837,0,350
59,0.5878063990022545,4840.000000476837,0,350
60,0.6124862090468652,4895.000000476837,0,350
61,0.6068738907276826,4955.000000476837,0,350
62,0.6127140595769175,5010.000000476837,0,145
63,0.5975080347292177,5070.000000476837,0,60
64,0.6200772293375546,5130.000000476837,0,350
65,0.6119105866551542,5190.000000476837,0,350
66,0.6113709406629251,5250.000000476837,0,350
67,0.5788242912649302,5360.000000476837,0,350
68,0.6241185782126925,5415.000000476837,0,350
69,0.623626900753106,5470.000000476837,0,350
70,0.6272005564349786,5525.000000476837,0,350
71,0.6334244735453542,5580.000000476837,0,350
72,0.639708351321533,5635.000000476837,0,350
73,0.6320573703650405,5690.000000476837,0,70
74,0.6397922962536576,5745.000000476837,0,350
75,0.6265409891111431,5800.000000476837,0,60
76,0.6292632033386099,5855.000000476837,0,90
77,0.6231232311603588,5910.000000476837,0,150
78,0.6256775555235765,5970.000000476837,0,350
79,0.6254137285940423,6030.000000476837,0,150
80,0.6413272892982204,6085.000000476837,0,350
81,0.6553820693624982,6140.000000476837,0,80
82,0.6280639900225452,6195.000000476837,0,350
83,0.6534153595241522,6250.000000476837,0,275
84,0.6351873171199693,6305.000000476837,0,75
85,0.6308101885163333,6360.000000476837,0,60
86,0.646531875089941,6415.000000476837,0,145
87,0.6317455749028638,6470.000000476837,0,60
88,0.6219719863769367,6530.000000476837,0,350
89,0.6210006235909243,6590.000000476837,0,85
90,0.6502734206360627,6650.000000476837,0,350
91,0.6390128075982155,6705.000000476837,0,350
