round,accuracy,elapsed_time,comm_time,round_time
1,0.1171,13.000000238418579,0,13
2,0.112,46.00000023841858,0,40
3,0.1374,70.00000023841858,0,70
4,0.1417,90.00000023841858,0,70
5,0.1709,116.00000023841858,0,70
6,0.2082,137.00000023841858,0,70
7,0.2533,155.00000023841858,0,70
8,0.2671,170.00000023841858,0,70
9,0.315,206.00000023841858,0,70
10,0.3706,225.00000023841858,0,70
11,0.3639,240.00000023841858,0,70
12,0.4259,263.0000002384186,0,31
13,0.4364,292.0000002384186,0,70
14,0.4433,311.0000002384186,0,70
15,0.4502,333.0000002384186,0,70
16,0.4745,362.0000002384186,0,70
17,0.4711,381.0000002384186,0,70
18,0.4765,403.0000002384186,0,70
19,0.5054,421.0000002384186,0,70
20,0.5007,451.0000002384186,0,70
21,0.5017,473.0000002384186,0,70
22,0.5145,491.0000002384186,0,70
23,0.5238,506.0000002384186,0,70
24,0.5303,529.0000002384186,0,70
25,0.5233,545.0000002384186,0,70
26,0.5384,563.0000002384186,0,70
27,0.5438,576.0000002384186,0,70
28,0.5487,587.0000002384186,0,70
29,0.5558,598.0000002384186,0,29
30,0.5559,609.0000002384186,0,70
31,0.5382,616.0000002384186,0,70
32,0.5575,624.0000002384186,0,15
33,0.5548,635.0000002384186,0,17
34,0.5739,639.0000002384186,0,23
35,0.5656,650.0000002384186,0,14
36,0.5797,661.0000002384186,0,16
37,0.5981,666.0000002384186,0,24
38,0.592,677.0000002384186,0,15
39,0.5966,688.0000002384186,0,19
40,0.5131,699.0000002384186,0,33
41,0.5649,710.0000002384186,0,21
42,0.5877,721.0000002384186,0,33
43,0.606,731.0000002384186,0,22
44,0.6053,741.0000002384186,0,20
45,0.6105,752.0000002384186,0,18
46,0.6183,763.0000002384186,0,26
47,0.6114,773.0000002384186,0,22
48,0.6005,784.0000002384186,0,19
49,0.609,795.0000002384186,0,18
50,0.6291,806.0000002384186,0,40
51,0.6218,817.0000002384186,0,26
52,0.6349,828.0000002384186,0,34
53,0.5799,839.0000002384186,0,24
54,0.6256,850.0000002384186,0,20
55,0.6294,860.0000002384186,0,43
56,0.6278,871.0000002384186,0,19
57,0.6445,882.0000002384186,0,31
58,0.642,893.0000002384186,0,26
