round,accuracy,elapsed_time,comm_time,round_time
1,0.08995299083801027,12.31765604019165,0,12.317655528895557
2,0.1220679234422219,309.87440299987793,0,309.8744026105851
3,0.21822084712428647,321.5345516204834,0,11.660148658789694
4,0.25695543723317504,619.5158579349518,0,309.64145495090634
5,0.31583681105194994,633.8160083293915,0,14.300150413066149
6,0.3474840504628963,928.9413549900055,0,309.42549703270197
7,0.39360579459874323,1124.2142598628998,0,309.8673797752708
8,0.4488295678035209,1337.4455363750458,0,266.6166462767869
9,0.482863241713436,1646.9804182052612,0,309.5348817817867
10,0.4954549815321149,1740.9833221435547,0,309.7627737307921
11,0.5340336739099151,1958.4484536647797,0,311.46803549584
12,0.5343934379047345,1974.0435168743134,0,15.595063284039497
13,0.5457739722741881,2269.627007007599,0,311.17855325713754
14,0.5673238355638701,2483.866707801819,0,311.5599354011938
15,0.564985369597544,2580.6459636688232,0,311.0189567459747
16,0.5824219312131242,2596.3909845352173,0,15.74502089433372
17,0.6003981388209335,2778.370002746582,0,197.72403917461634
18,0.6072216625893414,2800.5004987716675,0,22.130496029742062
19,0.6125941382453111,3090.3444747924805,0,311.9744721194729
20,0.6041516765002158,3105.4681928157806,0,15.123717945069075
21,0.6089605218976352,3400.4579722881317,0,310.11349755432457
