round,accuracy,elapsed_time,round_time
1,0.1,222.4459707736969,222.44597025644126
2,0.1,465.7028748989105,243.25690413345262
3,0.242,685.3163573741913,219.61348246213947
4,0.3279,1244.5352454185486,559.2188879887639
5,0.3747,1416.5329751968384,171.99772981001706
6,0.3913,1609.9125163555145,193.37954121334093
7,0.4098,2014.2853631973267,404.37284688126255
8,0.4286,2298.736047744751,284.450684482246
9,0.4554,2709.723249912262,410.98720212442464
10,0.4741,3027.667565345764,317.9443154653758
11,0.4789,3438.654767513275,410.98720212442464
12,0.5115,3587.575805425644,148.92103783871698
13,0.5101,4195.46196603775,607.8861605354767
14,0.5284,4415.815449714661,220.35348359946724
15,0.5441,5060.572634220123,644.7571846196288
16,0.5601,5280.186116695404,219.61348246213947
17,0.5794,5441.2092118263245,161.0230951166878
18,0.5768,6085.966396331787,644.7571846196288
19,0.5899,6329.223300457001,243.25690413345262
20,0.6042,6639.943164587021,310.71986404341004
21,0.6041,7581.369189739227,941.426025248543
22,0.614,7858.906941413879,277.53775158446797
23,0.618,8115.0077612400055,256.10081989259464
24,0.6184,8318.490643501282,203.4828822496735
25,0.6164,8629.210507631302,310.71986404341004
26,0.6238,8915.988298892975,286.77779119989435
27,0.6302,9087.986028671265,171.99772981001706
28,0.631,9732.743213176727,644.7571846196288
29,0.6324,9912.484333515167,179.741120315662
30,0.6418,10471.703221559525,559.2188879887639
31,0.6435,10749.240973234177,277.53775158446797
32,0.6362,10904.530234098434,155.28926095522345
33,0.6517,11106.345187425613,201.81495330007527
34,0.6485,11714.23134803772,607.8861605354767
35,0.6492,11976.43859219551,262.20724416501645
36,0.6487,12196.792075872421,220.35348359946724
37,0.6511,12357.815171003342,161.0230951166878
38,0.6567,13982.815171003342,1625.0
39,0.6574,14293.67000246048,310.8548313914265
40,0.6571,14487.169224739075,193.49922217195441
41,0.6626,14773.947016000748,286.77779119989435
42,0.664,15084.666880130768,310.71986404341004
43,0.665,15252.108209609985,167.44132946377044
44,0.6599,15514.315453767776,262.20724416501645
45,0.6666,16083.19236445427,568.876910680733
46,0.6663,16277.371347427368,194.17898297790776
47,0.6696,16516.106664657593,238.73531731823215
48,0.6669,16778.313908815384,262.20724416501645
49,0.6689,16930.433124780655,152.1192159566457
50,0.6711,17145.760085344315,215.32696065609775
51,0.673,17763.52900338173,617.7689180291798
52,0.6734,18704.955028533936,941.426025248543
53,0.6742,18915.199193954468,210.2441653207223
54,0.6754,19133.269793510437,218.07059960040073
55,0.6827,19451.21410894394,317.9443154653758
56,0.6755,19737.991900205612,286.77779119989435
57,0.6804,19931.37144136429,193.37954121334093
58,0.6818,20104.22670030594,172.85525889943824
59,0.6835,20663.445588350296,559.2188879887639
60,0.6859,20902.18090558052,238.73531731823215
61,0.6823,21212.90076971054,310.71986404341004
62,0.6827,21530.845085144043,317.9443154653758
63,0.6893,21808.382836818695,277.53775158446797
64,0.687,22426.15175485611,617.7689180291798
65,0.6902,22600.81756424904,174.66580932764407
66,0.6884,22935.95598602295,335.13842185392105
67,0.6911,23130.134968996048,194.17898297790776
68,0.687,23416.91276025772,286.77779119989435
69,0.6897,23592.035421848297,175.1226617022252
70,0.6948,23864.830019712448,272.79459791770194
71,0.6911,25489.830019712448,1625.0
72,0.6968,25691.644973039627,201.81495330007527
73,0.6958,26250.863861083984,559.2188879887639
74,0.6947,26895.621045589447,644.7571846196288
75,0.6936,27230.759467363358,335.13842185392105
76,0.6963,28172.185492515564,941.426025248543
77,0.7003,29113.61151766777,941.426025248543
78,0.6969,29315.42647099495,201.81495330007527
79,0.6931,30256.852496147156,941.426025248543
80,0.6967,30460.335378408432,203.4828822496735
81,0.6996,30635.03728222847,174.70190383622486
82,0.7019,30945.75714635849,310.71986404341004
83,0.7083,31112.43756556511,166.68041932044184
84,0.7002,31297.39332818985,184.95576266408057
85,0.7044,31581.844012737274,284.450684482246
86,0.7024,31837.9448325634,256.10081989259464
87,0.7059,31990.147725343704,152.20289273194354
88,0.7078,32276.925516605377,286.77779119989435
89,0.7072,32554.46326828003,277.53775158446797
90,0.7055,32872.40758371353,317.9443154653758
91,0.7079,33276.78043055534,404.37284688126255
92,0.7092,34218.20645570755,941.426025248543
93,0.7084,34502.657140254974,284.450684482246
94,0.7137,35110.54330086708,607.8861605354767
95,0.713,35295.49906349182,184.95576266408057
96,0.7118,35582.276854753494,286.77779119989435
97,0.7115,37207.276854753494,1625.0
98,0.7121,37383.31359863281,176.03674380548023
99,0.7184,37539.63662004471,156.32302137127638
100,0.7013,37712.486451387405,172.84983134299804
