round,accuracy,elapsed_time,round_time
1,0.1,93.3795416355133,93.37954121334093
2,0.1,270.9172933101654,177.537751584468
3,0.1957,506.0557150840759,235.13842185392107
4,0.2923,974.9326257705688,468.876910680733
5,0.3634,1147.7272236347198,172.79459791770194
6,0.4014,1263.0541841983795,115.32696065609778
7,0.4096,1722.2730722427368,459.21888798876387
8,0.451,1884.480316400528,162.20724416501642
9,0.4635,2402.2492344379425,517.7689180291798
10,0.4792,2450.659918785095,48.41068423390709
11,0.5034,2909.8788068294525,459.21888798876387
12,0.5261,3032.3247771263123,122.44597025644124
13,0.5405,3501.201687812805,468.876910680733
14,0.5525,3970.078598499298,468.876910680733
15,0.5601,4156.856389760971,186.77779119989435
16,0.5762,4250.355612039566,93.49922217195443
17,0.5841,4719.232522726059,468.876910680733
18,0.5841,5030.21972489357,310.98720212442464
19,0.5876,5116.716134548187,86.49640961356394
20,0.6032,5189.571393489838,72.85525889943824
21,0.6066,5307.641993045807,118.0705996004007
22,0.6096,5364.283264875412,56.64127182629447
23,0.6154,5833.160175561905,468.876910680733
24,0.6139,6341.046336174011,507.88616053547673
25,0.6243,6503.253580331802,162.20724416501642
26,0.6313,6972.130491018295,468.876910680733
27,0.6313,7441.007401704788,468.876910680733
28,0.6355,7485.588137626648,44.58073597387628
29,0.6355,7603.658737182617,118.0705996004007
30,0.6433,7838.797158956528,235.13842185392107
31,0.6366,7913.036419630051,74.23926060813373
32,0.6414,7985.891678571701,72.85525889943824
33,0.6415,8196.74651002884,210.8548313914265
34,0.6471,8306.990675449371,110.2441653207223
35,0.6532,8397.849575519562,90.85890003012649
36,0.6568,8702.222422361374,304.37284688126255
37,0.6576,8821.211268424988,118.98884617438733
38,0.6596,8908.944899320602,87.73363094023833
39,0.6632,9368.16378736496,459.21888798876387
40,0.6599,9434.043325185776,65.87953774468612
41,0.663,9902.920235872269,468.876910680733
42,0.6628,9991.893916130066,88.97368029645322
43,0.6651,10451.112804174423,459.21888798876387
44,0.6636,10594.369708299637,143.25690413345262
45,0.6646,10898.742555141449,304.37284688126255
46,0.6689,10980.268473386765,81.52591830334157
47,0.6724,11136.36929321289,156.10081989259464
48,0.6725,11977.795318365097,841.426025248543
49,0.6719,12052.03457903862,74.23926060813373
50,0.6752,12153.849532365799,101.8149533000753
51,0.6748,12269.176492929459,115.32696065609778
52,0.6719,12728.395380973816,459.21888798876387
53,0.6768,12831.878263235092,103.48288224967351
54,0.6771,13142.865465402603,310.98720212442464
55,0.6753,13602.08435344696,459.21888798876387
56,0.6815,13688.580763101578,86.49640961356394
57,0.6788,13767.594748020172,79.01398483873213
58,0.6756,14609.020773172379,841.426025248543
59,0.6794,14844.159194946289,235.13842185392107
60,0.6793,14963.148041009903,118.98884617438733
61,0.691,15078.475001573563,115.32696065609778
62,0.6895,15537.69388961792,459.21888798876387
63,0.6857,16082.451074123383,544.7571846196289
64,0.6876,16185.933956384659,103.48288224967351
65,0.6864,16302.032751321793,116.0987948830406
66,0.6856,16537.171173095703,235.13842185392107
67,0.6896,17045.05733370781,507.88616053547673
68,0.6954,17886.483358860016,841.426025248543
69,0.6946,19411.483358860016,1525.0
70,0.6944,19531.096841335297,119.61348246213947
71,0.6861,19842.084043502808,310.98720212442464
72,0.6868,20146.45689034462,304.37284688126255
73,0.6923,20235.430570602417,88.97368029645322
74,0.6897,20780.18775510788,544.7571846196289
75,0.6925,20843.03489303589,62.84713788119277
76,0.6935,22368.03489303589,1525.0
77,0.6953,22672.4077398777,304.37284688126255
78,0.6981,22790.47833943367,118.0705996004007
79,0.6972,23001.333170890808,210.8548313914265
80,0.7023,23519.102088928223,517.7689180291798
81,0.7012,23729.95692038536,210.8548313914265
82,0.7019,23823.336461544037,93.37954121334093
83,0.7064,24034.191293001175,210.8548313914265
84,0.6947,24153.18013906479,118.98884617438733
85,0.6986,24309.280958890915,156.10081989259464
86,0.7009,24613.653805732727,304.37284688126255
87,0.7052,24698.609568357468,84.95576266408058
88,0.7041,26223.609568357468,1525.0
89,0.7049,26333.853733778,110.2441653207223
90,0.7045,27175.279758930206,841.426025248543
91,0.7077,27644.1566696167,468.876910680733
92,0.7087,27782.891986846924,138.73531731823215
93,0.7095,27864.41790509224,81.52591830334157
94,0.7066,28075.13776922226,210.71986404341004
95,0.7111,28583.023929834366,507.88616053547673
96,0.7075,28669.520339488983,86.49640961356394
97,0.7161,28980.507541656494,310.98720212442464
98,0.7126,29153.302139520645,172.79459791770194
99,0.708,29252.501756191254,99.19961666879001
100,0.7111,29370.572355747223,118.0705996004007
