round,accuracy,elapsed_time,round_time
1,0.1,138.0620574951172,138.0620569715399
2,0.1,265.80069613456726,162.96560440764614
3,0.1,394.0158133506775,325.8357498754971
4,0.1,525.4700646400452,138.86071676256546
5,0.1,658.7215867042542,187.24994031838514
6,0.1,790.3007733821869,568.0210271692434
7,0.2039,922.0075998306274,160.76943532395154
8,0.2013,1055.7011425495148,182.31247632039435
9,0.178,1184.7673757076263,949.4098104584875
10,0.3186,1235.5572574138641,313.54965756641957
11,0.333,1353.9541556835175,169.18677994493035
12,0.2876,1489.4922075271606,285.716292000297
13,0.3469,1619.6668128967285,201.51046196231206
14,0.3642,1748.5651078224182,412.43461912624497
15,0.422,1860.3887922763824,413.90403230882845
16,0.4232,1897.3444910049438,148.77938319248076
17,0.4088,2023.6044344902039,159.6638559565093
18,0.4303,2153.8834311962128,190.8377967757772
19,0.4348,2283.7090435028076,196.0412539277871
20,0.4416,2413.9191615581512,181.58758706789357
21,0.4732,2484.4064955711365,620.0229147287625
22,0.4914,2562.7723960876465,148.8532345058179
23,0.4865,2661.2398903369904,176.83339472853118
24,0.5085,2777.6255214214325,214.85312524441784
25,0.4833,2906.993348121643,193.47243690700878
26,0.5027,3036.14102435112,167.20891727063005
27,0.4927,3167.2350602149963,146.96681767879446
28,0.5056,3257.8779039382935,575.7139906958354
29,0.5305,3384.144472837448,178.78224131749474
30,0.4727,3518.8370971679688,337.76851107381344
31,0.5397,3633.72638463974,296.7526432527228
32,0.5599,3736.2652168273926,217.4281196081246
33,0.5636,3823.7431893348694,190.01680473923125
34,0.555,3954.3769710063934,212.17340195961077
35,0.5606,4084.955023765564,212.46850974931536
36,0.5336,4217.096528053284,222.58071541967064
37,0.5239,4304.712716579437,568.4474996890007
38,0.5854,4426.320266962051,209.22373902462203
39,0.5933,4509.736003398895,205.02328693824577
40,0.5849,4638.617764949799,169.53366629677083
41,0.5865,4720.894870519638,294.5746034921755
42,0.6077,4791.491633653641,152.8738686297831
43,0.6069,4877.827027797699,156.93215720006097
44,0.5966,5003.266535043716,184.08699614512022
45,0.5891,5130.058916807175,224.02573588485092
46,0.5978,5165.6778972148895,256.04701756790286
47,0.6017,5290.579094171524,145.6831468615583
48,0.6197,5311.459149837494,163.5139819502348
49,0.6045,5444.02356672287,141.30245831388694
50,0.609,5506.280054807663,194.82090505654512
51,0.6233,5596.526649236679,152.5030825019464
52,0.6206,5721.007718801498,188.8831477336765
53,0.6221,5846.411275148392,146.8360546936965
54,0.628,5976.449541807175,404.87332306579646
55,0.6253,6105.614367723465,168.059866399005
56,0.6285,6236.649995326996,287.4117644207233
57,0.6381,6365.009273767471,643.9046543341456
58,0.6365,6496.117840766907,558.5167005733186
59,0.6423,6585.257754325867,403.114856670247
60,0.6388,6677.17067360878,181.05283278310742
61,0.643,6807.110820770264,193.00586201133726
62,0.6446,6931.561507940292,239.16297208796942
63,0.6454,7055.916660308838,169.16912678526904
64,0.647,7155.284644603729,570.0268901915432
65,0.6564,7281.3191702365875,193.84172142731364
66,0.6501,7315.491774320602,228.42203771076257
67,0.649,7443.860069036484,138.306125007721
68,0.6514,7508.796204090118,193.30442984860323
69,0.6457,7626.538280487061,182.67821152593024
70,0.6469,7682.214420795441,173.41821664148793
71,0.6488,7808.340594530106,164.67835009536708
72,0.6563,7935.207705497742,191.91254635644754
73,0.6589,8060.305327653885,284.2749336667036
74,0.6604,8187.879165172577,190.73674207825147
75,0.6525,8315.624448537827,650.358132824148
76,0.6633,8369.443560123444,561.1029656585837
77,0.66,8496.86181807518,152.0226606774975
78,0.6531,8535.460455656052,219.83600701386302
79,0.6628,8660.138760089874,155.10557248740386
80,0.6641,8786.495891094208,189.36366016370334
81,0.6623,8912.60416483879,258.3440906769783
82,0.6659,9005.739102363586,415.77217630120884
83,0.6744,9133.758352279663,176.727822923664
84,0.6646,9201.298467874527,285.07700509523556
85,0.6625,9328.556368112564,133.76511829731314
86,0.6698,9452.590807676315,292.6984971849394
87,0.6629,9577.38417005539,316.80803318575397
88,0.6648,9704.939057588577,248.84766978895902
89,0.6699,9834.247239112854,216.56471340505396
90,0.6694,9961.759140014648,182.59029672456995
91,0.6671,10090.670899152756,175.43126163977854
92,0.6646,10214.71010351181,184.87378271285652
93,0.6622,10337.25353384018,947.7138467181387
94,0.6747,10458.363793849945,148.59548181678687
95,0.674,10583.215952396393,340.04813324907855
96,0.6665,10705.275313615799,152.8606507877876
97,0.6679,10826.440734863281,222.46995135854732
98,0.6792,10947.224906206131,153.4180069178489
99,0.6792,11198.639415979385,1621.2552460248116
100,0.6764,11335.01535487175,136.37593877514257
101,0.6784,11460.453201770782,220.4911577641927
102,0.6823,11589.745153665543,254.72979878249583
103,0.6794,11715.299885034561,285.64738312760863
104,0.6798,11844.140224218369,216.88916200368467
105,0.675,11970.047042369843,219.98794222263587
106,0.6875,12094.860749483109,177.49016666428656
107,0.6759,12226.700476646423,143.65130694704706
108,0.4824,12353.21154141426,318.7746475134074
109,0.6841,12477.881980895996,180.95453175303814
110,0.6718,12606.58533668518,166.72114956538758
111,0.6775,12819.951309919357,1621.311893844977
112,0.6805,12968.738201141357,572.294740805696
113,0.6795,13141.943418502808,173.20521738224446
114,0.6646,13332.15118765831,306.8681268416743
115,0.6881,13477.88633775711,285.3509916145499
116,0.6787,13632.27816581726,154.3918279564895
117,0.686,13788.000229120255,181.22465603961476
118,0.6856,13932.481535673141,175.29385759309275
119,0.6932,14086.47275352478,161.91836476066516
120,0.6949,14302.51497387886,216.04222041504266
