round,accuracy,elapsed_time,round_time
1,0.1,136.9332718849182,136.9332701223431
2,0.1,265.0820710659027,220.91651587631054
3,0.1,394.83415508270264,282.7400060317012
4,0.1,519.6258022785187,283.7723487395938
5,0.146,648.7443013191223,153.52411873473756
6,0.1274,775.4619722366333,187.56861915990183
7,0.1995,840.4012749195099,575.3192038748556
8,0.1401,973.4964888095856,149.2334261666611
9,0.1672,1084.5420155525208,244.14074066374206
10,0.3564,1121.4228682518005,147.92637938688742
11,0.2862,1248.3172042369843,149.94970230638052
12,0.3216,1368.889629125595,284.34761361932897
13,0.4156,1434.3222436904907,186.00503942630473
14,0.3729,1541.8713283538818,172.9816992545268
15,0.4374,1625.5560717582703,191.23382797270946
16,0.4176,1728.5236539840698,186.6523257384529
17,0.4468,1781.5319166183472,155.97584494728088
18,0.3732,1906.4862937927246,152.7380397794579
19,0.3834,1941.2143423557281,209.3533833004978
20,0.4586,2053.5640301704407,147.07773641272016
21,0.3917,2187.0980863571167,187.98519933076048
22,0.334,2313.9921996593475,163.1393060481304
23,0.3078,2442.4892468452454,290.63896472241294
24,0.4338,2554.9290459156036,613.7147036546093
25,0.4504,2681.0605807304382,180.52989115465903
26,0.4777,2813.7051482200623,193.08555400270902
27,0.4795,2946.61177277565,160.20075832655527
28,0.465,3066.4730718135834,623.9838250646442
29,0.5044,3193.7437777519226,161.3837338583724
30,0.4558,3325.6877059936523,156.68322015193715
31,0.4725,3448.9693207740784,343.5010291788826
32,0.5263,3575.7500636577606,144.961181039762
33,0.5265,3707.697020292282,148.81893612907908
34,0.5032,3840.2938299179077,280.77044273773197
35,0.5653,3967.8423569202423,142.66918933763895
36,0.4928,4100.270416498184,177.04864466070853
37,0.5489,4229.944862127304,341.7386582600052
38,0.5736,4365.016640424728,222.27941736291896
39,0.5724,4578.265153169632,1631.653380349744
40,0.6005,4733.9269008636475,215.88914978667594
41,0.5994,4895.699985027313,317.43483194941945
42,0.6074,5045.85241484642,176.66211202571148
43,0.6131,5209.582431554794,313.8824465076934
44,0.6142,5397.405946493149,946.0790794740344
45,0.6268,5548.782360315323,323.9814342506919
46,0.6156,5703.1899473667145,650.8597956300573
47,0.6252,5901.586319684982,198.3963722638296
48,0.6303,6078.890163660049,249.36563886804186
49,0.6337,6305.713552951813,226.82338924016435
50,0.637,6448.486124992371,246.52235629781836
51,0.6366,6596.516217708588,948.4838236090175
52,0.638,6734.715950727463,181.52377349255016
53,0.6426,6901.762912273407,177.41327309325453
54,0.6432,7062.271173238754,187.51473335542175
55,0.6362,7209.170660018921,162.8632000266903
56,0.6446,7351.793479681015,613.1589879051033
57,0.6476,7504.080851793289,152.28737216302977
58,0.6548,7648.290437459946,162.9429116968021
59,0.6452,7783.881666898727,219.40137596231853
60,0.6548,7925.651974201202,153.15958346592447
61,0.6499,8102.07948923111,176.42751508778963
62,0.654,8248.161846876144,181.0857266567905
63,0.6428,8391.837793111801,566.9728830787884
64,0.6582,8540.498977899551,185.51153801548514
65,0.654,8681.230031728745,181.73455288331365
66,0.6515,8821.749624729156,293.1962399656565
67,0.6564,8963.365616321564,252.93507383728405
68,0.6616,9153.406408071518,195.73236790294374
69,0.6576,9348.935904502869,225.81931213368293
70,0.6585,9513.569908380508,652.7321789395855
71,0.6695,9679.238715171814,414.2629464538641
72,0.6537,9829.669121265411,207.83241383922044
73,0.6638,10010.03228878975,180.36316764317826
74,0.6656,10162.89885544777,183.08178465220354
75,0.6631,10326.473180294037,647.2344650298683
76,0.6605,10518.233961105347,198.3484501019079
77,0.6586,10667.596850633621,311.7735991543188
78,0.656,10829.224708080292,224.78321627726746
79,0.664,10987.994793891907,167.10204292178827
80,0.6627,11146.17755317688,209.69675305476193
81,0.6618,11430.67273068428,284.4951773972859
82,0.6641,11617.584146738052,186.91141594299577
83,0.6686,11763.436610221863,617.259056948971
84,0.6734,11949.030897140503,185.594286842736
85,0.6728,12093.606590986252,222.0349015920432
86,0.6679,12272.26329946518,178.65670840073597
87,0.665,12434.676624774933,1630.6440583895892
88,0.6766,12586.19596362114,249.4892278032811
89,0.671,12730.449164867401,167.51693642626648
90,0.6689,12946.583723545074,283.5607506674857
91,0.6727,13123.924016237259,177.34029268109242
92,0.6653,13294.406953811646,170.48293748069744
93,0.6843,13444.39646244049,625.2191458888426
94,0.6716,13580.54769229889,224.8236162256989
95,0.6714,13761.6450009346,249.6722293829979
96,0.6791,13902.00667476654,193.81871617789926
97,0.6788,14054.451359510422,169.64461261147375
98,0.6801,14199.682794094086,224.91178406813916
99,0.6821,14393.566964626312,193.88417061923005
100,0.6816,14538.143258094788,294.8267258519915
101,0.671,14702.655198097229,164.51193999938087
102,0.6795,14849.668584346771,628.7625488838255
103,0.6741,15021.539110183716,171.8705258749017
104,0.6722,15169.006956100464,183.52206380842324
105,0.6838,15323.079383134842,155.0983629875497
106,0.6831,15479.233652114868,174.0529339303887
107,0.6734,15632.311275482178,166.80269791484812
108,0.6852,15787.025227308273,163.79585450577883
109,0.6881,15939.958869218826,625.8898331144899
110,0.6853,16102.145944595337,283.8952277742005
111,0.6712,16251.967158555984,176.77281529523066
112,0.6863,16480.697434663773,228.73027618960108
113,0.6888,16619.38401055336,343.35873071468495
114,0.6885,16763.150789260864,153.47103740313622
115,0.6901,16988.871240615845,225.72045141311165
116,0.6928,17254.23634171486,265.36510103789163
117,0.6897,17555.919115543365,567.0478750339774
118,0.6901,17731.405044317245,327.9666618357636
119,0.6853,17900.078053712845,178.7680083206762
120,0.6951,18218.84345626831,318.76540260151285
