round,accuracy,elapsed_time,round_time
1,0.1,139.77249908447266,139.77249854326334
2,0.1,268.64905834198,190.0608347555717
3,0.1,368.4878263473511,273.711377584383
4,0.1,431.44309520721436,247.57610872317792
5,0.1,564.6482393741608,175.87680033334647
6,0.1002,680.6624298095703,273.54523042985994
7,0.336,739.3633561134338,174.71511666822363
8,0.1,870.3388221263885,145.75065245741186
9,0.1003,947.5689651966095,266.90653527458954
10,0.3675,1051.9189558029175,181.5801337459519
11,0.342,1185.8770468235016,210.42658540028302
12,0.3852,1238.8180713653564,267.1135196003673
13,0.3839,1362.7130014896393,173.30570946839754
14,0.4056,1492.0395231246948,253.22145166282547
15,0.4436,1537.9515464305878,175.238544918095
16,0.3946,1671.3377814292908,165.9525942846331
17,0.3738,1756.7142505645752,264.67472751799045
18,0.4501,1889.839171409607,146.13424569257674
19,0.4552,2018.8719201087952,313.127881196507
20,0.4872,2039.2158675193787,149.37669618009224
21,0.4105,2175.844788312912,145.61579168574454
22,0.4002,2280.5503540039062,261.67843392292974
23,0.5338,2323.3501353263855,147.50534691210154
24,0.4965,2449.915510892868,149.16608004221328
25,0.5107,2543.428645133972,262.87829107197007
26,0.5476,2631.368755340576,181.45324452553587
27,0.5527,2759.0738093852997,147.49160454331286
28,0.5612,2810.976633310318,225.72110996334445
29,0.5748,2899.6658029556274,140.59199356908582
30,0.5741,3029.7639424800873,189.29860164417596
31,0.5803,3067.477108001709,229.59694275967408
32,0.5934,3200.834633588791,155.42834202265934
33,0.5889,3217.2941467761993,179.11806750466758
34,0.58,3349.629465341568,145.7291900314049
35,0.5754,3425.7293362617493,224.89470261111947
36,0.6149,3495.853310108185,146.22384476961474
37,0.6221,3622.7727982997894,196.35800174624336
38,0.6202,3672.323896884918,211.0341367201392
39,0.6268,3803.7410051822662,157.30583040375677
40,0.6237,3883.5518896579742,211.22799285514992
41,0.6337,3948.54993391037,144.80892865211922
42,0.6333,4075.55561542511,192.00372568169286
43,0.6337,4206.556757211685,256.90436128817504
44,0.6399,4335.9011788368225,196.4281650558175
45,0.6352,4464.566256046295,411.9382400008473
46,0.642,4592.452104568481,264.91820721828384
47,0.6519,4730.195073127747,200.761833176944
48,0.6482,4859.266202926636,416.2926499589685
49,0.6475,4929.786762237549,410.6903679064564
50,0.6458,5061.289642333984,186.814477429484
51,0.652,5192.255674362183,268.2899588551448
52,0.6505,5319.814110279083,419.2359637443315
53,0.6572,5447.778548002243,405.7786928211428
54,0.6585,5576.829697132111,268.9410658048076
55,0.6496,5707.208144187927,228.3287016797737
56,0.6604,5837.499491214752,417.72082493499516
57,0.66,5925.325325012207,414.37626373149413
58,0.6476,6057.773651599884,163.5772507250868
59,0.6633,6188.629239320755,323.7251442700848
60,0.6611,6320.279247283936,417.464631175144
61,0.6649,6450.80802321434,566.8835184181174
62,0.6641,6581.836625576019,324.08337957526
63,0.6651,6721.680912733078,146.52030794094256
64,0.6671,6853.499952554703,419.45669330399147
65,0.6617,6981.049292564392,410.10207939088303
66,0.671,7113.996270418167,565.8372016733578
67,0.6671,7244.300035953522,278.16523271511824
68,0.6703,7377.211624145508,419.74612928902394
69,0.6748,7513.6063351631165,409.47413919620175
70,0.6711,7645.041034936905,288.78296654454016
71,0.6717,7778.335667848587,560.2155894686533
72,0.6791,7910.843464612961,627.6864726796355
73,0.6794,8038.75458240509,412.455552026033
74,0.6729,8170.809016466141,218.0039961828551
75,0.674,8303.115962266922,179.229734190802
76,0.6756,8435.718641519547,566.9632097688103
77,0.6732,8559.026328802109,624.0629634332452
78,0.6755,8707.375000953674,291.42054294726375
79,0.6732,8843.51648592949,285.094295484168
80,0.6756,8976.993283987045,419.63854250473565
81,0.6806,9109.911762237549,565.4125801583817
82,0.6839,9242.557655334473,623.5888621142674
83,0.6806,9376.107793569565,211.69566027641287
84,0.6832,9509.19648861885,420.7248861444987
85,0.6816,9641.608209133148,321.11593344342253
86,0.6817,9776.816827058792,566.5732480532555
87,0.6806,9908.658344745636,626.0321869039051
88,0.6776,10042.875166893005,418.70276392412967
89,0.683,10180.59348320961,147.72042308075967
90,0.6862,10323.480964183807,291.1625461829969
91,0.6796,10456.279902935028,562.1322023990164
92,0.6867,10585.698882341385,624.6901012935284
93,0.6881,10716.837127685547,292.2490845972349
94,0.6884,10851.120330095291,946.002596323556
95,0.6893,10984.816676855087,411.0860437016092
96,0.6782,11123.328964948654,418.0972939098593
97,0.6962,11254.828855752945,625.0017510390915
98,0.6839,11396.187883138657,183.41522632330066
99,0.6834,11532.861680746078,411.7025115260478
100,0.6929,11665.592058897018,419.777095354848
101,0.6961,11799.19486117363,947.3638019433158
102,0.6922,11936.582277536392,625.6404225797467
103,0.6818,12068.885611057281,414.21043536170345
104,0.6904,12204.108882904053,419.53454009465537
105,0.6903,12340.449784040451,192.25177801051785
106,0.6937,12473.273181915283,340.2983495291887
107,0.6939,12606.410097122192,624.9887106592375
108,0.6912,12739.370471715927,416.7446925896093
109,0.695,12870.994927406311,947.2242160690396
110,0.6975,13006.58663058281,147.15880261774976
111,0.6932,13143.455072641373,413.07455614102963
112,0.6966,13270.984637260437,625.826765173262
113,0.6962,13404.063665151596,142.37506084930212
114,0.6935,13541.169777393341,217.76192882152264
115,0.7029,13672.529198169708,413.69875843646895
116,0.6963,13800.608741283417,418.1870122589044
117,0.7026,13931.208285093307,949.3782178244467
118,0.6896,14067.1327419281,316.54115276853844
119,0.6936,14199.061736822128,413.78772604056593
120,0.7027,14334.29408121109,420.08647936488165
121,0.6987,14466.670024871826,315.436587817737
122,0.7005,14601.874606132507,151.33958020760983
123,0.6963,14733.935802698135,413.517093686489
124,0.6986,14863.905818462372,417.258952754537
125,0.7069,14993.014885902405,949.2117092038418
126,0.7068,15126.968418836594,147.6274562569442
127,0.6943,15259.378258943558,414.52109035114717
128,0.6984,15393.948494911194,417.1452954292636
129,0.707,15525.021487951279,614.7854108155888
130,0.7036,15656.937911987305,316.2561862587492
131,0.7037,15792.701221466064,411.9315016817856
132,0.6965,15926.768800020218,417.50885218008085
133,0.7056,16058.922792434692,946.6168010841968
134,0.705,16187.876847028732,614.9758584811069
135,0.7004,16322.624461889267,410.08771167030517
136,0.7061,16454.119203567505,419.02201614434495
137,0.712,16588.241690158844,292.65601358904104
138,0.705,16721.730009555817,223.62014349381633
139,0.7127,16853.977613210678,612.6015367104854
140,0.7118,16984.945235967636,417.6300309793897
141,0.7103,17118.55331683159,948.714759733007
142,0.7019,17252.53959751129,142.8537872228751
143,0.7091,17385.39187836647,406.5223630413968
144,0.7004,17513.215039491653,616.989468990564
145,0.7069,17646.48153948784,173.42197428185275
146,0.7154,17819.102056264877,1631.2252092151903
147,0.7086,18066.412501573563,947.8591847735836
148,0.7119,18226.792761325836,613.0130976859663
149,0.6975,18481.829439401627,415.4169378601819
150,0.7044,18841.57549715042,614.7827358650692
