round,accuracy,elapsed_time,round_time
1,0.2092,127.16673874855042,127.16673848292116
2,0.1767,255.74339175224304,128.57665304751183
3,0.2321,381.60337948799133,125.85998771768641
4,0.2365,510.18003249168396,128.57665304751183
5,0.272,635.1806044578552,125.0005719395022
6,0.3365,773.0584659576416,137.8778616030357
7,0.3305,910.936327457428,137.8778616030357
8,0.3059,1036.7963151931763,125.85998771768641
9,0.3552,1174.6741766929626,137.8778616030357
10,0.3665,1299.674748659134,125.0005719395022
11,0.3747,1424.6753206253052,125.0005719395022
12,0.373,1550.5353083610535,125.85998771768641
13,0.3902,1688.4131698608398,137.8778616030357
14,0.384,1816.9898228645325,128.57665304751183
15,0.3955,1945.566475868225,128.57665304751183
16,0.4044,2070.5670478343964,125.0005719395022
17,0.4323,2197.733786344528,127.16673848292116
18,0.4231,2324.90052485466,127.16673848292116
19,0.4126,2450.7605125904083,125.85998771768641
20,0.4381,2579.337165594101,128.57665304751183
21,0.4068,2705.1971533298492,125.85998771768641
22,0.4497,2832.363891839981,127.16673848292116
23,0.4442,2960.9405448436737,128.57665304751183
24,0.444,3098.81840634346,137.8778616030357
25,0.4496,3227.3950593471527,128.57665304751183
26,0.442,3353.255047082901,125.85998771768641
27,0.4337,3480.421785593033,127.16673848292116
28,0.4165,3606.281773328781,125.85998771768641
29,0.4306,3734.8584263324738,128.57665304751183
30,0.4653,3872.73628783226,137.8778616030357
31,0.4549,4001.3129408359528,128.57665304751183
32,0.4683,4126.313512802124,125.0005719395022
33,0.4309,4254.890165805817,128.57665304751183
34,0.4864,4382.0569043159485,127.16673848292116
35,0.4955,4507.916892051697,125.85998771768641
36,0.476,4632.917464017868,125.0005719395022
37,0.5025,4770.795325517654,137.8778616030357
38,0.511,4908.673187017441,137.8778616030357
39,0.4676,5033.673758983612,125.0005719395022
40,0.5042,5160.840497493744,127.16673848292116
41,0.4554,5286.700485229492,125.85998771768641
42,0.459,5415.277138233185,128.57665304751183
43,0.4371,5541.137125968933,125.85998771768641
44,0.4885,5666.997113704681,125.85998771768641
45,0.5089,5794.163852214813,127.16673848292116
46,0.4468,5922.740505218506,128.57665304751183
47,0.5251,6060.618366718292,137.8778616030357
48,0.4787,6186.4783544540405,125.85998771768641
49,0.4817,6311.478926420212,125.0005719395022
50,0.5042,6440.055579423904,128.57665304751183
51,0.4936,6568.632232427597,128.57665304751183
52,0.5146,6695.798970937729,127.16673848292116
53,0.4628,6824.3756239414215,128.57665304751183
54,0.4947,6952.952276945114,128.57665304751183
55,0.513,7080.119015455246,127.16673848292116
56,0.527,7205.979003190994,125.85998771768641
57,0.5212,7343.856864690781,137.8778616030357
58,0.462,7469.716852426529,125.85998771768641
59,0.5316,7596.883590936661,127.16673848292116
60,0.4877,7722.743578672409,125.85998771768641
