round,accuracy,elapsed_time,round_time
1,0.1,226.0675458908081,226.06754554886933
2,0.1,449.2405354976654,223.17298952319462
3,0.1712,1061.4479894638062,612.2074539903268
4,0.3262,1399.3091065883636,337.86111708396174
5,0.35,1660.0229432582855,260.713836611826
6,0.3966,2069.9903984069824,409.9674551911741
7,0.4042,3700.151145219803,1630.1607467397116
8,0.441,3924.6037011146545,224.4525558694192
9,0.4605,4147.0543920993805,222.45069088944427
10,0.4849,4437.161422014236,290.1070299525888
11,0.4967,4639.687586784363,202.5261646932418
12,0.5285,5204.913784980774,565.2261982933218
13,0.5408,5547.288453817368,342.37466891427584
14,0.5626,5754.618663311005,207.3302095401079
15,0.5651,5904.48095369339,149.86229027576434
16,0.5832,6171.335461854935,266.854508164812
17,0.5918,7799.9647624492645,1628.629300534958
18,0.6087,8023.718505859375,223.75374337720487
19,0.6098,8317.157960891724,293.4394550690574
20,0.6218,8966.591311216354,649.4333504390297
21,0.6241,9151.259094715118,184.66778351352923
22,0.6283,9344.663677692413,193.4045830015154
23,0.6339,9627.631245136261,282.96756747543395
24,0.638,11258.264028310776,1630.6327832094394
25,0.6403,11882.905783891678,624.6417555493842
26,0.6441,12199.587074756622,316.6812907937012
27,0.6446,12493.658203363419,294.07112860066417
28,0.6498,12786.930798530579,293.2725951396075
29,0.6535,13006.492478370667,219.56167982658803
30,0.6507,13620.271167516708,613.7786891604491
31,0.6576,13825.988627433777,205.71746000395845
32,0.6595,14114.799577713013,288.81095031766716
33,0.6601,14341.356688022614,226.55711021120752
34,0.6677,15288.77886724472,947.4221791736229
35,0.6674,15938.177119493484,649.3982522043725
36,0.6647,16252.666706562042,314.48958707251876
37,0.6672,16568.512075185776,315.8453685463804
38,0.6695,16768.955014705658,200.44293948407042
39,0.6745,16955.025188446045,186.0701738506781
40,0.6733,17152.46612882614,197.44094045847993
41,0.6734,17717.04460501671,564.5784761342751
42,0.6778,18332.145196437836,615.1005915065479
43,0.6711,18944.002631664276,611.8574352657605
44,0.6777,19359.793387651443,415.7907559394244
45,0.6795,19703.09961438179,343.30622681897194
46,0.6816,19992.226363420486,289.1267490913303
47,0.6812,20257.198602437973,264.97223910946224
48,0.6859,20868.503929138184,611.3053266554788
49,0.6869,21209.59596347809,341.0920344539086
50,0.6841,21397.799535036087,188.20357152571108
51,0.6893,21739.64718770981,341.8476527732896
52,0.6869,21963.185522556305,223.5383349093069
53,0.6888,22239.948551893234,276.7630293178371
54,0.6901,22862.216537952423,622.2679860402438
55,0.6873,23054.629677295685,192.41313943002777
56,0.6893,23277.332505226135,222.70282786056208
57,0.6902,23690.0259039402,412.69339880881495
58,0.6925,24012.93012690544,322.90422295054793
59,0.6966,24625.07601070404,612.145883890539
60,0.698,25573.46018600464,948.3841752076435
