round,accuracy,elapsed_time,round_time
1,0.1,32.460553884506226,32.46055308706127
2,0.1,58.45249652862549,55.89251027186401
3,0.1,91.72144913673401,83.47218332695775
4,0.1,117.69795823097229,74.50040765479207
5,0.1096,145.3614330291748,104.64758053584956
6,0.1,172.55984616279602,164.69486529496498
7,0.3026,206.61099481582642,75.45180025999434
8,0.3449,238.43585896492004,116.85218954994343
9,0.3668,266.98162031173706,120.59654991305433
10,0.3851,310.782222032547,72.3463630611077
11,0.394,342.62007188796997,163.00551935308613
12,0.4051,377.87325263023376,116.5463188008871
13,0.4186,409.9162766933441,120.67195480503142
14,0.427,453.3610951900482,212.27993077691644
15,0.4423,483.87664341926575,139.2896416890435
16,0.4366,511.83870100975037,162.75227062986232
17,0.4579,543.7524127960205,120.82939215493388
18,0.4711,576.7768893241882,327.09566025296226
19,0.4734,628.4031100273132,140.04829001403414
20,0.4949,658.7756416797638,116.71143094706349
21,0.4872,687.0332472324371,212.71036687190644
22,0.493,746.2929158210754,157.20391741092317
23,0.5085,782.5819761753082,139.8019275679253
24,0.5236,850.0312376022339,103.73832178395241
25,0.5302,893.6800792217255,204.9328579690773
26,0.5259,920.4394669532776,326.12752082105726
27,0.5367,947.5869698524475,139.94394354801625
28,0.5549,976.6528759002686,103.89762121997774
29,0.5659,1029.1724996566772,60.410208171000704
30,0.5691,1059.8910615444183,311.9555019470863
31,0.5658,1088.1266849040985,139.40974333602935
32,0.5528,1117.770425081253,326.40868264902383
33,0.5755,1173.6511328220367,211.65037485887296
34,0.5925,1216.7520122528076,116.86499448306859
35,0.584,1264.6985201835632,326.0223694399465
36,0.5837,1321.2706525325775,104.51864029094577
37,0.5959,1355.1670317649841,212.40230420418084
38,0.6035,1392.6850414276123,312.2661928019952
39,0.6056,1427.7558410167694,163.05732081714086
40,0.61,1494.7027518749237,326.29390887287445
41,0.614,1535.468565940857,178.3178092711605
42,0.5987,1589.6313264369965,324.93280629697256
43,0.6189,1614.6060020923615,326.04743183706887
44,0.6177,1650.460256576538,122.64154159696773
45,0.6198,1693.4386250972748,78.5146228640806
46,0.6153,1725.2551279067993,312.3108498749789
47,0.6302,1782.2848508358002,156.18752091610804
48,0.625,1826.2582714557648,319.91932638408616
49,0.6268,1869.5697009563446,144.31457312218845
50,0.6349,1914.3402860164642,324.7089596930891
51,0.6305,1963.494580745697,326.49961233488284
52,0.6267,2037.3966500759125,312.14152225200087
53,0.6358,2082.3271355628967,212.42795132403262
