round,accuracy,elapsed_time,round_time
1,0.1,28.99389934539795,28.99389889393933
2,0.1,61.51308035850525,61.51307997200638
3,0.1,87.97573351860046,73.95054916990921
4,0.1,118.2881429195404,110.87294058711268
5,0.1949,148.86967206001282,76.53325339197181
6,0.2362,178.76230001449585,89.80993236391805
7,0.3352,206.2430944442749,46.1135461460799
8,0.1,232.72124886512756,220.63833226100542
9,0.3826,259.47919607162476,42.363052119966596
10,0.3875,287.3436601161957,53.358045450178906
11,0.3996,314.84386944770813,46.67290746397339
12,0.1102,342.1054286956787,326.36776822898537
13,0.3846,370.2821044921875,237.4778818411287
14,0.4299,400.0742816925049,82.17961192899384
15,0.4346,427.45257449150085,122.75152968685143
16,0.4484,457.86651611328125,80.89021198498085
17,0.4683,485.20925760269165,72.84144176589325
18,0.4533,517.6379737854004,326.4075422361493
19,0.4757,546.9547810554504,120.55242163408548
20,0.4815,579.13605260849,53.15071422979236
21,0.4842,606.0181951522827,326.4943444870878
22,0.5138,633.8126950263977,76.69878739211708
23,0.5159,664.2727880477905,36.968145130900666
24,0.521,694.3674507141113,87.30753702484071
25,0.5452,732.7693984508514,68.49661035789177
26,0.5181,761.5428485870361,326.0908164840657
27,0.5231,796.5593030452728,312.39863152289763
28,0.5515,823.292377948761,116.4908681048546
29,0.5507,850.978098154068,211.90455543994904
30,0.5463,888.8689839839935,305.9470821619034
31,0.5702,917.9431297779083,68.5162705029361
32,0.575,945.5269401073456,140.19240473513491
33,0.5764,972.6408226490021,40.17640159884468
34,0.5759,1001.9763503074646,325.76459198701195
35,0.5861,1028.504632472992,50.698553967056796
36,0.5972,1055.941013097763,57.501912992913276
37,0.5982,1102.4392261505127,46.49821314285509
38,0.6043,1135.4483473300934,85.37073778687045
39,0.5864,1181.1076135635376,326.638767571887
40,0.6059,1227.2002398967743,91.7518924898468
41,0.6059,1258.5753858089447,312.5987067089882
42,0.6088,1285.0888712406158,212.3351304649841
43,0.61,1311.9225807189941,306.0068829378579
44,0.6075,1338.8053102493286,55.249285242985934
45,0.6134,1367.2465507984161,46.245632094098255
46,0.6163,1393.5548331737518,154.3564299789723
47,0.6161,1422.681228876114,54.04002640792169
48,0.6248,1454.7925086021423,326.6837759811897
49,0.6238,1487.957240819931,120.71069014002569
50,0.6229,1516.1480433940887,86.55552175501361
51,0.6265,1550.046043395996,120.27862703194842
52,0.6323,1580.4629445075989,212.06133076897822
53,0.6325,1609.1972453594208,230.262193642091
54,0.6341,1635.8924765586853,75.78988877893426
55,0.6304,1661.948657989502,326.71623613894917
56,0.6393,1687.258409023285,73.17746806214564
57,0.6365,1715.5343072414398,53.36871817498468
58,0.6337,1743.0592353343964,73.83865270297974
59,0.6302,1751.733057975769,86.59411501721479
60,0.6388,1778.5815267562866,33.277492278954014
61,0.6363,1808.6557931900024,52.99905170616694
62,0.6368,1836.7666599750519,69.3057115750853
63,0.6379,1864.159339427948,45.95159433106892
64,0.6397,1891.5303387641907,121.97731721587479
65,0.6426,1919.2328517436981,46.43946831487119
66,0.6469,1946.4456779956818,80.54686699598096
67,0.6394,1973.9610035419464,217.1976689628791
68,0.6498,2008.9242012500763,47.1147423540242
69,0.6524,2042.2828261852264,77.02917033201084
70,0.6454,2073.624282360077,144.57564888405614
71,0.6489,2099.886999130249,212.74169203010388
