round,accuracy,elapsed_time,round_time
1,0.1,32.21749520301819,32.21749421302229
2,0.1,58.423760175704956,54.55833249096759
3,0.1,91.75345063209534,83.56484947004355
4,0.1,118.64168739318848,75.97497658804059
5,0.1093,156.80979442596436,104.64636825211346
6,0.1,183.79053258895874,163.77329500718042
7,0.2096,213.2462193965912,116.44722597301006
8,0.2951,239.7832214832306,63.13862765603699
9,0.3017,274.6318485736847,103.9645995059982
10,0.3961,314.8018081188202,79.72999358689412
11,0.358,346.7459135055542,162.54419365804642
12,0.4116,379.1398603916168,104.08608637191355
13,0.4246,437.6837468147278,122.88193872687407
14,0.4342,484.10136580467224,120.04464578302577
15,0.449,518.0672333240509,162.9176086219959
16,0.4476,561.161333322525,156.88062468310818
17,0.462,604.5404984951019,120.43913273513317
18,0.4608,650.9751896858215,310.9900057921186
19,0.4559,697.6773617267609,160.13899341900833
20,0.4578,725.6080069541931,326.4119381918572
21,0.4692,769.2396128177643,325.77817777288146
22,0.4935,860.4222280979156,185.54670236515813
23,0.4806,961.9866163730621,236.37860944191925
24,0.4982,1046.1469345092773,312.75572311808355
25,0.5081,1086.2038311958313,326.30046460800804
26,0.4997,1119.1007437705994,326.6544380541891
27,0.5174,1161.2194397449493,46.92968492093496
28,0.5306,1201.2046349048615,235.99812640692107
29,0.5335,1239.0261900424957,48.96168694808148
30,0.5465,1280.9792141914368,82.02916065789759
31,0.5532,1341.0392110347748,139.83457616297528
32,0.5505,1374.0284535884857,311.18009314197116
33,0.549,1412.4708089828491,326.2669778659474
34,0.5507,1445.5665035247803,326.46575970202684
35,0.5554,1482.415670633316,326.91014684108086
36,0.5633,1513.9684031009674,212.22540432191454
37,0.5607,1602.9825735092163,157.41607009014115
38,0.5806,1682.4002718925476,236.83376825018786
39,0.5769,1721.3117039203644,312.51306314300746
40,0.5814,1756.785917043686,325.89406302408315
41,0.5829,1788.9567558765411,326.8284248630516
42,0.5877,1827.7723042964935,323.0269189768005
43,0.5917,1880.7258558273315,85.6138954272028
44,0.5969,1961.7554631233215,236.19193024607375
45,0.5946,1990.246529340744,211.8953903701622
46,0.5963,2026.869521856308,305.332660485059
47,0.5947,2067.045079946518,310.55875842203386
48,0.6053,2097.676449775696,323.5838007971179
49,0.6077,2130.0116126537323,326.54590738913976
