round,accuracy,elapsed_time,round_time
1,0.1,56.943405866622925,56.943405283751574
2,0.1,107.66175723075867,107.66175686513087
3,0.1,163.01946258544922,60.17301071802328
4,0.1,214.16393303871155,187.20724416501642
5,0.101,232.7277569770813,163.73531731823215
6,0.1105,288.56059861183167,70.27308631288804
7,0.1441,341.191118478775,107.66175686513087
8,0.2257,393.61662101745605,128.4828822496735
9,0.2047,446.5098178386688,187.20724416501642
10,0.3403,498.2399206161499,107.66175686513087
11,0.4168,552.5981321334839,128.4828822496735
12,0.4045,610.2451350688934,163.73531731823215
13,0.4249,662.4118735790253,187.20724416501642
14,0.4477,717.9068918228149,128.4828822496735
15,0.4503,775.204971075058,163.73531731823215
16,0.4277,830.6405227184296,350.0
17,0.4676,881.7849931716919,187.20724416501642
18,0.4735,943.3741536140442,163.73531731823215
19,0.4703,1008.7707850933075,86.03153388764812
20,0.4792,1073.8359651565552,187.20724416501642
21,0.5046,1125.3605365753174,163.73531731823215
22,0.5037,1180.6405227184296,350.0
23,0.5121,1233.6608021259308,335.98720212442464
24,0.5246,1289.095853805542,187.20724416501642
25,0.5499,1344.3237619400024,69.95200005408282
26,0.5554,1405.4995954036713,211.77779119989435
27,0.5578,1462.7991559505463,163.73531731823215
28,0.5673,1518.7643115520477,329.37284688126255
29,0.5635,1569.6480042934418,350.0
30,0.5717,1625.8292336463928,211.77779119989435
31,0.5835,1697.405003786087,163.73531731823215
32,0.5818,1755.51162981987,187.20724416501642
33,0.5967,1812.581906080246,145.3534835994672
34,0.6009,1866.6095597743988,329.37284688126255
35,0.6025,1918.8798530101776,335.98720212442464
36,0.5997,1971.3053555488586,350.0
37,0.6172,2025.6635670661926,141.0987948830406
38,0.6164,2079.2871363162994,211.77779119989435
39,0.6235,2132.820374727249,71.24543680208109
40,0.6249,2189.0016040802,187.20724416501642
41,0.6241,2241.4020216464996,329.37284688126255
42,0.6286,2296.1361837387085,335.98720212442464
43,0.6318,2355.592789411545,350.0
44,0.637,2406.7552576065063,187.20724416501642
45,0.6332,2467.98254942894,235.8548313914265
46,0.6388,2518.8427877426147,211.77779119989435
47,0.6397,2570.7748684883118,329.37284688126255
48,0.6459,2629.2184824943542,187.20724416501642
49,0.6425,2681.8977749347687,335.98720212442464
50,0.6445,2732.4064371585846,350.0
51,0.6466,2809.6093299388885,77.20289273194354
52,0.6491,2863.3273425102234,187.20724416501642
53,0.6518,2920.799601316452,329.37284688126255
54,0.6522,2975.533763408661,235.8548313914265
55,0.65,3032.8040595054626,335.98720212442464
56,0.6549,3087.612857103348,350.0
57,0.6595,3161.8493576049805,74.2365004075498
