round,accuracy,elapsed_time,round_time
1,0.1,56.943405866622925,56.943405283751574
2,0.1,107.66175723075867,107.66175686513087
3,0.1,164.76341128349304,99.70190383622487
4,0.1,215.32351398468018,187.20724416501642
5,0.1246,264.4653151035309,99.70190383622487
6,0.1,315.62015867233276,86.6660724263333
7,0.112,367.46879720687866,107.66175686513087
8,0.3075,402.5307581424713,187.20724416501642
9,0.1593,460.8060383796692,86.03153388764812
10,0.1506,511.0391848087311,107.66175686513087
11,0.3703,571.6188497543335,86.03153388764812
12,0.4013,618.7009415626526,187.20724416501642
13,0.4215,657.6503837108612,86.03153388764812
14,0.2309,711.368396282196,86.6660724263333
15,0.2636,761.5474421977997,107.66175686513087
16,0.452,805.9081857204437,187.20724416501642
17,0.3881,859.2093772888184,71.5757701228895
18,0.3556,909.8329865932465,107.66175686513087
19,0.45,962.2512722015381,71.5757701228895
20,0.4435,1012.9417777061462,187.20724416501642
21,0.493,1047.7007966041565,107.66175686513087
22,0.5059,1099.607850074768,86.6660724263333
23,0.5136,1149.7486441135406,85.44952439752382
24,0.537,1199.8586356639862,107.66175686513087
25,0.5473,1235.198168516159,187.20724416501642
26,0.5664,1286.524708032608,86.6660724263333
27,0.5649,1336.6035997867584,107.66175686513087
28,0.5816,1390.2123339176178,92.44132946377043
29,0.581,1442.0302557945251,187.20724416501642
30,0.5899,1492.0453913211823,107.66175686513087
31,0.6019,1550.2700836658478,143.0705996004007
32,0.6043,1600.9930651187897,141.0987948830406
33,0.6171,1653.3175957202911,187.20724416501642
34,0.628,1706.6187872886658,143.0705996004007
35,0.6342,1776.4455270767212,141.0987948830406
36,0.6448,1834.4184155464172,181.10081989259464
37,0.6412,1889.5916917324066,187.20724416501642
38,0.6472,1941.707421541214,335.98720212442464
39,0.6488,1998.1537327766418,350.0
40,0.6504,2051.3505578041077,350.0
41,0.6573,2102.210545539856,209.450684482246
42,0.6572,2155.7699720859528,59.45660569653082
43,0.6592,2212.5834867954254,163.73531731823215
44,0.6591,2277.694623708725,335.98720212442464
45,0.6568,2329.2133100032806,209.450684482246
46,0.6601,2380.0476553440094,350.0
47,0.6673,2436.861170053482,350.0
48,0.6667,2490.3090682029724,181.10081989259464
49,0.6723,2543.782972574234,209.450684482246
50,0.6746,2598.362847328186,104.01398483873211
51,0.6742,2657.7566528320312,335.98720212442464
52,0.6729,2714.0821056365967,181.10081989259464
53,0.6688,2766.9753024578094,350.0
54,0.6697,2820.3419983386993,350.0
55,0.6796,2894.145002603531,163.73531731823215
56,0.6748,2946.4152958393097,181.10081989259464
57,0.6856,3004.462575674057,335.98720212442464
