round,accuracy,elapsed_time,round_time
1,0.1,140.32696151733398,140.32696065609778
2,0.1,352.10475277900696,211.77779119989435
3,0.2172,493.20354771614075,141.0987948830406
4,0.2989,617.4031643867493,124.19961666879001
5,0.3426,709.0835835933685,91.68041932044181
6,0.3801,890.1844034194946,181.10081989259464
7,0.4004,1030.5113639831543,140.32696065609778
8,0.4178,1380.5113639831543,350.0
9,0.44,1583.0491156578064,202.537751584468
10,0.4502,1825.9934310913086,242.9443154653758
11,0.4693,1930.7345514297485,104.741120315662
12,0.4803,2280.7345514297485,350.0
13,0.4916,2404.934168100357,124.19961666879001
14,0.5027,2602.728765964508,197.79459791770194
15,0.5259,2938.715968132019,335.98720212442464
16,0.5393,3024.1654925346375,85.44952439752382
17,0.5583,3143.344475507736,119.17898297790778
18,0.558,3222.6181514263153,79.27367592219687
19,0.5736,3314.2985706329346,91.68041932044181
20,0.5834,3664.2985706329346,350.0
21,0.5913,4014.2985706329346,350.0
22,0.6021,4125.794980287552,111.49640961356394
23,0.6115,4197.370750427246,71.5757701228895
24,0.6099,4341.35959649086,143.98884617438733
25,0.62,4670.732443332672,329.37284688126255
26,0.6244,5020.732443332672,350.0
27,0.6295,5102.373715162277,81.64127182629446
28,0.6315,5270.630619287491,168.25690413345262
29,0.6318,5410.9575798511505,140.32696065609778
30,0.6362,5620.408264398575,209.450684482246
31,0.6391,5730.364027023315,109.95576266408058
32,0.6377,5942.141818284988,211.77779119989435
33,0.6458,6129.3490624427795,187.20724416501642
34,0.6468,6479.3490624427795,350.0
35,0.6539,6677.1436603069305,197.79459791770194
36,0.6531,6754.3465530872345,77.20289273194354
37,0.6525,7104.3465530872345,350.0
38,0.6566,7202.196384429932,97.84983134299804
39,0.6559,7349.642354726791,147.44597025644123
40,0.6588,7552.1801064014435,202.537751584468
41,0.6649,7763.9578976631165,211.77779119989435
42,0.6639,7868.699018001556,104.741120315662
43,0.6649,7975.224936246872,106.52591830334157
44,0.6661,8162.432180404663,187.20724416501642
45,0.6695,8498.419382572174,335.98720212442464
46,0.6727,8685.626626729965,187.20724416501642
47,0.6726,9035.626626729965,350.0
48,0.6733,9133.084905862808,97.45827907076108
49,0.678,9219.349920988083,86.26501515874247
50,0.6808,9555.337123155594,335.98720212442464
51,0.6822,9698.407722711563,143.0705996004007
52,0.6805,9814.266622781754,115.85890003012649
53,0.6782,9958.880105257034,144.61348246213947
54,0.684,10017.323719263077,58.44361392641361
55,0.6746,10152.567884683609,135.2441653207223
56,0.6822,10502.567884683609,350.0
57,0.6813,10852.567884683609,350.0
58,0.6852,10970.947425842285,118.37954121334093
59,0.6921,11320.947425842285,350.0
60,0.694,11670.947425842285,350.0
61,0.6928,11771.070087432861,100.1226617022252
62,0.6921,11939.326991558075,168.25690413345262
63,0.6944,12084.680475234985,145.3534835994672
64,0.6955,12434.680475234985,350.0
65,0.6938,12582.126445531845,147.44597025644123
66,0.6991,12779.921043395996,197.79459791770194
67,0.6924,12904.120660066605,124.19961666879001
68,0.691,13008.861780405045,104.741120315662
69,0.6994,13112.875765323639,104.01398483873211
70,0.6982,13186.67876958847,73.80300433610749
71,0.7042,13315.161651849747,128.4828822496735
72,0.7004,13502.368896007538,187.20724416501642
73,0.7094,13637.61306142807,135.2441653207223
74,0.704,13987.61306142807,350.0
75,0.703,14337.61306142807,350.0
76,0.7077,14518.713881254196,181.10081989259464
77,0.7124,14662.70272731781,143.98884617438733
78,0.6989,15012.70272731781,350.0
79,0.7132,15362.70272731781,350.0
80,0.7073,15692.075574159622,329.37284688126255
81,0.7123,15777.52509856224,85.44952439752382
82,0.7111,15945.782002687454,168.25690413345262
83,0.7117,16086.880797624588,141.0987948830406
84,0.7185,16171.868527889252,84.98773015077226
85,0.7096,16507.855730056763,335.98720212442464
86,0.7193,16710.393481731415,202.537751584468
87,0.7087,16815.134602069855,104.741120315662
88,0.7141,16934.313585042953,119.17898297790778
89,0.7122,17284.313585042953,350.0
90,0.7138,17527.257900476456,242.9443154653758
91,0.7201,17618.13743829727,90.87953774468613
