round,accuracy,elapsed_time,round_time
1,0.1,506.9434061050415,506.9434052837516
2,0.1,637.2072448730469,637.2072441650164
3,0.1,1137.7159070968628,613.7353173182321
4,0.1,1292.9306082725525,785.9872021244246
5,0.2495,1751.4512243270874,613.7353173182321
6,0.2011,2078.9178104400635,785.9872021244246
7,0.3572,2365.186541557312,613.7353173182321
8,0.3278,2716.1250545978546,637.2072441650164
9,0.4022,2978.9218587875366,613.7353173182321
10,0.3667,3353.3322987556458,637.2072441650164
11,0.4291,3592.6571760177612,613.7353173182321
12,0.4037,3990.539542913437,637.2072441650164
13,0.4469,4206.392493247986,613.7353173182321
14,0.4126,4627.746787071228,637.2072441650164
15,0.4646,4820.12781047821,613.7353173182321
16,0.4377,5264.954031229019,637.2072441650164
17,0.4723,5433.863127708435,613.7353173182321
18,0.4536,5902.16127538681,637.2072441650164
19,0.4926,6047.59844493866,613.7353173182321
20,0.4647,6539.368519544601,637.2072441650164
21,0.5048,6661.333762168884,613.7353173182321
22,0.3599,7161.380946159363,543.0243817232189
23,0.4381,7275.069079399109,637.2072441650164
24,0.4906,7704.405327796936,543.0243817232189
25,0.5262,7888.8043966293335,613.7353173182321
26,0.5157,8247.42970943451,543.0243817232189
27,0.5389,8502.539713859558,613.7353173182321
28,0.5296,8790.454091072083,543.0243817232189
29,0.5581,9116.275031089783,613.7353173182321
30,0.5417,9333.478472709656,543.0243817232189
31,0.5643,9730.010348320007,613.7353173182321
32,0.5554,9876.502854347229,543.0243817232189
33,0.5709,10343.745665550232,613.7353173182321
34,0.5603,10419.527235984802,543.0243817232189
35,0.2918,10921.329212665558,531.3230213712764
36,0.2012,10962.551617622375,613.7353173182321
37,0.586,11452.652234077454,531.3230213712764
38,0.569,11505.575999259949,543.0243817232189
39,0.6015,11983.97525548935,531.3230213712764
40,0.5873,12048.600380897522,543.0243817232189
41,0.6063,12515.298276901245,531.3230213712764
42,0.5932,12591.624762535095,543.0243817232189
43,0.6133,13046.62129831314,531.3230213712764
44,0.5942,13134.649144172668,543.0243817232189
45,0.6102,13577.944319725037,531.3230213712764
46,0.6061,13677.673525810242,543.0243817232189
47,0.614,14109.267341136932,531.3230213712764
48,0.6043,14220.697907447815,543.0243817232189
49,0.6222,14640.590362548828,531.3230213712764
50,0.6101,14763.722289085388,543.0243817232189
51,0.6256,15171.913383960724,531.3230213712764
52,0.6122,15306.746670722961,543.0243817232189
53,0.6241,15703.23640537262,531.3230213712764
54,0.6074,15849.771052360535,543.0243817232189
55,0.6332,16234.559426784515,531.3230213712764
56,0.6148,16392.795433998108,543.0243817232189
57,0.6308,16765.88244819641,531.3230213712764
58,0.6142,16935.81981563568,543.0243817232189
59,0.6374,17297.205469608307,531.3230213712764
60,0.6205,17478.844197273254,543.0243817232189
61,0.6377,17828.528491020203,531.3230213712764
62,0.6175,18021.868578910828,543.0243817232189
63,0.6379,18359.8515124321,531.3230213712764
64,0.6232,18564.8929605484,543.0243817232189
65,0.6429,18891.174533843994,531.3230213712764
66,0.627,19107.917342185974,543.0243817232189
67,0.6421,19422.49755525589,531.3230213712764
68,0.6315,19650.941723823547,543.0243817232189
69,0.6453,19953.820576667786,531.3230213712764
70,0.6326,20193.96610546112,543.0243817232189
71,0.6386,20485.14359807968,531.3230213712764
72,0.6285,20736.990487098694,543.0243817232189
73,0.6355,21016.466619491577,531.3230213712764
74,0.6347,21280.014868736267,543.0243817232189
75,0.6466,21547.789640903473,531.3230213712764
76,0.6314,21823.03925037384,543.0243817232189
77,0.6408,22079.11266231537,531.3230213712764
78,0.6244,22366.063632011414,543.0243817232189
79,0.6433,22610.435683727264,531.3230213712764
80,0.6309,22909.088013648987,543.0243817232189
81,0.6489,23141.75870513916,531.3230213712764
82,0.6407,23452.11239528656,543.0243817232189
83,0.651,23673.081726551056,531.3230213712764
84,0.6462,23995.136776924133,543.0243817232189
85,0.6519,24204.40474796295,531.3230213712764
86,0.6411,24538.161158561707,543.0243817232189
87,0.6514,24735.727769374847,531.3230213712764
88,0.6387,25081.18554019928,543.0243817232189
89,0.6576,25267.050790786743,531.3230213712764
90,0.6387,25624.209921836853,543.0243817232189
91,0.6477,25798.37381219864,531.3230213712764
92,0.6418,26167.234303474426,543.0243817232189
93,0.6566,26329.696833610535,531.3230213712764
94,0.6518,26710.258685112,543.0243817232189
95,0.6599,26861.01985502243,531.3230213712764
96,0.6498,27253.283066749573,543.0243817232189
97,0.6557,27392.342876434326,531.3230213712764
98,0.6437,27796.307448387146,543.0243817232189
99,0.6509,27923.665897846222,531.3230213712764
100,0.6436,28339.33183002472,543.0243817232189
101,0.6574,28454.988919258118,531.3230213712764
102,0.6537,28882.356211662292,543.0243817232189
103,0.6641,28986.311940670013,531.3230213712764
104,0.6522,29425.380593299866,543.0243817232189
105,0.6674,29517.63496208191,531.3230213712764
106,0.6523,29968.40497493744,543.0243817232189
107,0.6636,30048.957983493805,531.3230213712764
108,0.6508,30511.429356575012,543.0243817232189
109,0.6665,30580.2810049057,531.3230213712764
110,0.6552,31054.453738212585,543.0243817232189
111,0.6681,31111.604026317596,531.3230213712764
112,0.6414,31597.47811985016,543.0243817232189
113,0.6661,31642.927047729492,531.3230213712764
114,0.6539,32140.502501487732,543.0243817232189
115,0.6677,32174.250069141388,531.3230213712764
116,0.4999,32674.626541137695,529.458505226931
117,0.5837,32705.573090553284,543.0243817232189
118,0.6438,33204.08504629135,529.458505226931
119,0.6631,33236.89611196518,531.3230213712764
120,0.6406,33733.54355144501,529.458505226931
121,0.6631,33768.219133377075,531.3230213712764
122,0.6548,34263.00205659866,529.458505226931
123,0.6748,34299.54215478897,531.3230213712764
124,0.6547,34792.46056175232,529.458505226931
125,0.6758,34830.86517620087,531.3230213712764
126,0.6591,35321.919066905975,529.458505226931
127,0.6828,35362.18819761276,531.3230213712764
128,0.6585,35851.37757205963,529.458505226931
129,0.6834,35893.51121902466,531.3230213712764
130,0.6648,36380.83607721329,529.458505226931
131,0.6764,36424.834240436554,531.3230213712764
132,0.6517,36910.29458236694,529.458505226931
133,0.6769,36956.15726184845,531.3230213712764
134,0.6574,37439.7530875206,529.458505226931
135,0.6814,37487.480283260345,531.3230213712764
136,0.648,37969.211592674255,529.458505226931
137,0.674,38018.80330467224,531.3230213712764
138,0.6711,38498.67009782791,529.458505226931
139,0.6859,38550.12632608414,531.3230213712764
140,0.6667,39028.12860298157,529.458505226931
141,0.6785,39081.44934749603,531.3230213712764
142,0.6656,39557.58710813522,529.458505226931
143,0.6749,39612.77236890793,531.3230213712764
144,0.667,40087.04561328888,529.458505226931
145,0.6731,40144.095390319824,531.3230213712764
146,0.6687,40616.504118442535,529.458505226931
147,0.6891,40675.41841173172,531.3230213712764
148,0.6656,41145.96262359619,529.458505226931
149,0.6897,41206.741433143616,531.3230213712764
150,0.6677,41675.42112874985,529.458505226931
