round,accuracy,elapsed_time,round_time
1,0.1,590.3269610404968,590.3269606560978
2,0.1,1208.5838651657104,618.2569041334526
3,0.1376,1803.1973476409912,594.6134824621395
4,0.3271,2488.9172117710114,685.7198640434101
5,0.3751,3074.1613771915436,585.2441653207223
6,0.3899,3735.9391684532166,661.7777911998944
7,0.3969,4329.92801451683,593.9888461743873
8,0.4285,4925.281498193741,595.3534835994673
9,0.4508,6241.707523345947,1316.426025248543
10,0.4675,6818.522476673126,576.8149533000753
11,0.4872,7365.520206451416,546.9977298100171
12,0.5017,8051.375037908554,685.8548313914265
13,0.522,9071.132222414017,1019.7571846196288
14,0.543,10054.018383026123,982.8861605354767
15,0.5604,10691.225627183914,637.2072441650164
16,0.5636,11238.223356962204,546.9977298100171
17,0.5785,11783.886248588562,545.6628916904714
18,0.5811,12431.680846452713,647.7945979177019
19,0.5833,14431.680846452713,2000.0
20,0.5934,15000.180068731308,568.4992221719544
21,0.5929,15594.793551206589,594.6134824621395
22,0.6025,16374.1663980484,779.3728468812626
23,0.613,16965.265192985535,591.0987948830406
24,0.6091,17513.349100589752,548.0839074864775
25,0.6211,18299.336302757263,785.9872021244246
26,0.6251,18862.069933652878,562.7336309402383
27,0.6259,19844.956094264984,982.8861605354767
28,0.6257,20440.309577941895,595.3534835994673
29,0.6269,20996.83549618721,556.5259183033415
30,0.627,21551.081659793854,554.2461634987071
31,0.6281,22533.96782040596,982.8861605354767
32,0.6272,23093.9235830307,559.9557626640806
33,0.6382,23684.25054359436,590.3269606560978
34,0.6398,24225.130081415176,540.8795377446861
35,0.6386,26225.130081415176,2000.0
36,0.6421,26877.66783308983,652.537751584468
37,0.6439,27446.846816062927,569.1789829779078
38,0.6482,28077.947635889053,631.1008198925946
39,0.6438,28672.561118364334,594.6134824621395
40,0.6433,29222.89259672165,550.3314784080756
41,0.6444,29820.33856701851,597.4459702564412
42,0.655,30599.71141386032,779.3728468812626
43,0.6554,31156.237332105637,556.5259183033415
44,0.6571,31747.33612704277,591.0987948830406
45,0.654,32338.434921979904,591.0987948830406
46,0.6538,33048.573343753815,710.138421853921
47,0.6584,34031.45950436592,982.8861605354767
48,0.6585,34592.95591402054,561.496409613564
49,0.6586,36592.95591402054,2000.0
50,0.6579,37186.94476008415,593.9888461743873
51,0.6557,38130.821670770645,943.876910680733
52,0.6574,38792.59946203232,661.7777911998944
53,0.6641,39429.80670619011,637.2072441650164
54,0.6634,40746.232731342316,1316.426025248543
55,0.666,41359.96804857254,613.7353173182321
56,0.6603,42379.725233078,1019.7571846196288
57,0.6693,43313.94412112236,934.2188879887638
58,0.6656,43904.27108168602,590.3269606560978
59,0.6675,44458.51724529266,554.2461634987071
60,0.6695,45244.504447460175,785.9872021244246
61,0.6735,46560.93047261238,1316.426025248543
62,0.6711,47877.35649776459,1316.426025248543
63,0.6699,49877.35649776459,2000.0
64,0.6766,50451.556114435196,574.19961666879
65,0.6736,51104.09386610985,652.537751584468
66,0.6685,51765.87165737152,661.7777911998944
67,0.6804,53082.29768252373,1316.426025248543
68,0.674,53675.3682820797,593.0705996004007
69,0.6852,54312.57552623749,637.2072441650164
70,0.6794,54960.37012410164,647.7945979177019
71,0.6783,55557.8160943985,597.4459702564412
72,0.6805,56492.034982442856,934.2188879887638
73,0.6817,57021.49348759651,529.458505226931
74,0.6735,58014.26240563393,992.7689180291799
75,0.6831,60014.26240563393,2000.0
76,0.6901,60700.117237091064,685.8548313914265
77,0.6694,61479.49008393288,779.3728468812626
78,0.6885,62172.43439936638,692.9443154653758
79,0.6867,62741.61338233948,569.1789829779078
80,0.6911,63451.75180411339,710.138421853921
81,0.6938,64768.177829265594,1316.426025248543
82,0.6941,65314.92669272423,546.7488634821107
83,0.6889,66307.69561076164,992.7689180291799
84,0.6885,67093.68281292915,785.9872021244246
85,0.6901,67786.62712836266,692.9443154653758
86,0.6852,68363.44208168983,576.8149533000753
87,0.6974,69073.58050346375,710.138421853921
88,0.6889,69594.82594037056,521.245436802081
89,0.7002,70280.54580450058,685.7198640434101
90,0.6917,71224.42271518707,943.876910680733
91,0.6931,73224.42271518707,2000.0
92,0.7003,74217.19163322449,992.7689180291799
93,0.694,74764.64991235733,547.4582790707611
94,0.7025,75310.31280398369,545.6628916904714
95,0.6986,75866.73920702934,556.426403129782
96,0.6984,76519.276958704,652.537751584468
97,0.6984,77463.15386939049,943.876910680733
98,0.7002,78019.58027243614,556.426403129782
99,0.6989,78588.07949471474,568.4992221719544
100,0.703,79225.28673887253,637.2072441650164
101,0.6981,80169.16364955902,943.876910680733
102,0.7009,80716.16137933731,546.9977298100171
103,0.7023,81735.91856384277,1019.7571846196288
104,0.7032,82304.41778612137,568.4992221719544
105,0.7055,83324.17497062683,1019.7571846196288
106,0.7021,84268.05188131332,943.876910680733
107,0.7076,85260.82079935074,992.7689180291799
108,0.7083,86243.70695996284,982.8861605354767
109,0.7062,87236.47587800026,992.7689180291799
110,0.701,87830.46472406387,593.9888461743873
111,0.7049,89146.89074921608,1316.426025248543
112,0.6912,89706.84651184082,559.9557626640806
113,0.7009,90292.09067726135,585.2441653207223
114,0.7109,90885.16127681732,593.0705996004007
115,0.7078,91454.34025979042,569.1789829779078
116,0.7115,92068.07557702065,613.7353173182321
117,0.7108,92628.03133964539,559.9557626640806
118,0.718,93287.48202419281,659.4506844822461
119,0.707,93973.33685564995,685.8548313914265
