round,accuracy,elapsed_time,round_time
1,0.1,502.77931451797485,502.7793134488576
2,0.1,992.7689189910889,992.7689180291799
3,0.1,1059.3052327632904,556.5259183033415
4,0.1,1559.7378072738647,562.7336309402383
5,0.1091,2012.5261034965515,1019.7571846196288
6,0.116,2512.6606860160828,545.6628916904714
7,0.186,2876.163832426071,1316.426025248543
8,0.3378,3106.6495320796967,593.9888461743873
9,0.2749,3607.005927801132,520.9208640483567
10,0.1537,4107.843115091324,520.5051149651881
11,0.2915,4192.589857578278,1316.426025248543
12,0.331,4693.2290098667145,521.5757701228895
13,0.3834,4845.12760925293,652.537751584468
14,0.4209,5254.725419521332,561.496409613564
15,0.412,5409.101289510727,563.9736802964533
16,0.3732,5909.544793367386,523.4106842339071
17,0.429,6195.088491678238,785.9872021244246
18,0.4646,6424.062766075134,514.5179727522764
19,0.4722,6842.883089542389,647.7945979177019
20,0.4811,7076.600517749786,652.537751584468
21,0.4921,7473.983909368515,631.1008198925946
22,0.5019,7674.046488046646,597.4459702564412
23,0.5121,8008.329939365387,534.3460300748367
24,0.4207,8508.40068411827,613.7353173182321
25,0.4686,8656.932648658752,982.8861605354767
26,0.5419,9040.29545211792,531.8947680932455
27,0.5252,9203.681512117386,546.7488634821107
28,0.567,9560.122111320496,519.8266591673669
29,0.5353,9718.996490955353,515.3149787448043
30,0.5813,10076.883829832077,516.7617185834853
31,0.5623,10498.369337797165,779.3728468812626
32,0.5918,10655.366712093353,578.4828822496735
33,0.573,11088.696298360825,590.3269606560978
34,0.596,11177.049116134644,521.682404024385
35,0.4873,11677.697212457657,568.3795412133409
36,0.4878,11712.498640537262,595.3534835994673
37,0.3678,12212.963385343552,520.9552207606043
38,0.3335,12266.744804143906,554.2461634987071
39,0.5973,12728.039065361023,515.0756800158756
40,0.612,12845.227686405182,578.4828822496735
41,0.6059,13275.894324302673,547.8552588994382
42,0.6199,13391.988547086716,546.7608606309442
43,0.611,13823.74415564537,547.8498313429981
44,0.549,14323.878738164902,685.7198640434101
45,0.5484,14757.963043689728,992.7689180291799
46,0.63,15109.865940332413,785.9872021244246
47,0.6325,15389.063863515854,631.1008198925946
48,0.581,15889.140103578568,554.2461634987071
49,0.5924,16050.841654777527,785.9872021244246
50,0.6352,16419.861520528793,530.7214169039526
51,0.6345,16664.57697200775,613.7353173182321
52,0.6302,16955.31104493141,535.4495243975238
53,0.6302,17278.312289237976,613.7353173182321
54,0.6382,17614.761729478836,659.4506844822461
55,0.6458,17847.491272211075,569.1789829779078
56,0.6441,18164.463633298874,549.7019038362249
57,0.643,18395.341103553772,547.8498313429981
58,0.6562,18730.322533369064,565.8589000301265
59,0.6522,18930.79062795639,535.4495243975238
60,0.6538,19296.181433439255,565.8589000301265
61,0.6554,19447.55234646797,516.7617185834853
62,0.6435,19893.627403736115,597.4459702564412
63,0.6517,19962.20930838585,514.6569618539013
64,0.6626,20414.87284064293,521.245436802081
65,0.6526,20510.059139728546,547.8498313429981
66,0.5873,21010.292286157608,594.6134824621395
67,0.6039,21349.091728687286,934.2188879887638
68,0.6585,21578.791508436203,568.4992221719544
69,0.6529,21896.089458465576,546.9977298100171
70,0.6031,22396.52203297615,515.4150117491157
71,0.607,22896.898504972458,534.9877301507722
72,0.6106,23396.945688962936,547.8498313429981
73,0.6132,23578.791508436203,2000.0
74,0.6542,23947.068350553513,550.1226617022252
75,0.6565,24110.686276435852,531.8947680932455
76,0.614,24610.765168190002,518.577035582009
77,0.6171,24939.837268590927,992.7689180291799
78,0.6189,25439.97921729088,537.8471378811928
79,0.6247,25544.98405623436,934.2188879887638
80,0.6632,25986.740077972412,546.7608606309442
81,0.668,26142.43002653122,597.4459702564412
82,0.6683,26543.166481018066,556.426403129782
83,0.6584,26706.403706789017,563.9736802964533
84,0.6722,27092.868384838104,549.7019038362249
85,0.6694,27243.06977915764,536.6660724263334
86,0.6738,27633.74792265892,540.8795377446861
87,0.677,27788.732670783997,545.6628916904714
88,0.6753,28160.94566464424,527.1977420675681
89,0.6807,28381.803270339966,593.0705996004007
90,0.6747,28813.483416318893,652.537751584468
91,0.6784,28896.321243047714,514.5179727522764
92,0.681,29361.338675260544,547.8552588994382
93,0.6698,29555.77192759514,659.4506844822461
94,0.6757,29939.82155752182,578.4828822496735
95,0.6831,30102.520791053772,546.7488634821107
96,0.6874,30493.835542440414,554.0139848387322
97,0.6856,30649.979070186615,547.4582790707611
98,0.6471,31150.54679584503,590.3269606560978
99,0.6405,31196.72793364525,659.4506844822461
100,0.3736,31696.86251616478,523.8030043361075
101,0.4205,31836.40162730217,685.8548313914265
102,0.672,32211.927696228027,515.0651799823648
103,0.6633,32367.724648714066,531.3230213712764
104,0.6806,32732.887062072754,520.9593658381287
105,0.6809,32941.924265384674,574.19961666879
106,0.688,33254.13249897957,521.245436802081
107,0.6868,33721.297112226486,779.3728468812626
108,0.6856,33799.79539060593,545.6628916904714
109,0.6565,34299.85896873474,520.4017724833558
110,0.6554,34800.038014650345,563.9736802964533
111,0.6602,35300.13943147659,982.8861605354767
112,0.6496,35721.297112226486,2000.0
113,0.69,35893.21003103256,593.0705996004007
114,0.678,36257.328646183014,536.031533887648
115,0.6836,36438.87292265892,545.6628916904714
116,0.6865,36847.65560674667,590.3269606560978
117,0.6679,37350.73336148262,561.496409613564
118,0.6522,37850.81225323677,595.3534835994673
119,0.6596,38351.4358625412,513.6378421769267
120,0.6046,38852.145391225815,2000.0
