round,accuracy,elapsed_time,round_time
1,0.1,56.597108364105225,56.59710696754571
2,0.1,107.02968287467957,77.11921595664569
3,0.1,157.12432193756104,115.85890003012649
4,0.1,208.70195174217224,67.11159963072218
5,0.1003,259.8567953109741,202.537751584468
6,0.1,311.0956425666809,197.79459791770194
7,0.1031,350.73633313179016,211.77779119989435
8,0.24,402.3694896697998,80.28926095522345
9,0.2887,455.389769077301,97.45827907076108
10,0.2492,507.0775396823883,141.0987948830406
11,0.3275,557.0781116485596,128.4828822496735
12,0.3852,608.0373842716217,112.73363094023833
13,0.3422,658.0393950939178,143.0705996004007
14,0.378,672.8097367286682,163.73531731823215
15,0.4126,723.6699750423431,60.88408432638667
16,0.395,769.5358047485352,111.49640961356394
17,0.401,820.0836143493652,80.28926095522345
18,0.4137,870.9434144496918,81.89476809324553
19,0.4479,921.8036527633667,57.299560464921
20,0.4713,972.7045528888702,77.4362510791963
21,0.4781,1022.9077632427216,126.8149533000753
22,0.4764,1073.6699750423431,350.0
23,0.4994,1124.0359871387482,350.0
24,0.5106,1176.2975628376007,69.95200005408282
25,0.4888,1227.4930636882782,81.32302137127638
26,0.5161,1278.4482462406158,235.8548313914265
27,0.5363,1330.8486638069153,260.13842185392105
28,0.5471,1380.9290416240692,65.12297691577615
29,0.5664,1431.568193912506,100.1226617022252
30,0.5684,1488.16512465477,74.2365004075498
31,0.56,1550.4976346492767,211.77779119989435
32,0.5882,1602.141235113144,335.98720212442464
33,0.5883,1654.1412799358368,187.20724416501642
34,0.6061,1704.7804322242737,235.71986404341004
35,0.603,1755.38263630867,68.01489772758374
36,0.6152,1806.1299514770508,350.0
37,0.6087,1856.9465219974518,235.8548313914265
38,0.6255,1906.9988861083984,106.42640312978205
39,0.6357,1957.7797620296478,55.55801057949506
40,0.6335,2007.8601398468018,144.61348246213947
41,0.6374,2054.7804322242737,350.0
42,0.6426,2078.7810039520264,70.92086404835678
43,0.642,2129.640804052353,58.65324751326486
44,0.6579,2180.600076675415,104.741120315662
45,0.6622,2232.2654163837433,101.03674380548021
46,0.6425,2282.8676204681396,109.95576266408058
47,0.6704,2333.9167160987854,242.9443154653758
48,0.6562,2384.4645256996155,126.8149533000753
49,0.6692,2438.520749807358,350.0
50,0.6731,2489.7352454662323,96.74886348211058
51,0.6696,2543.268483877182,70.95936583812879
52,0.685,2593.4475297927856,350.0
53,0.687,2643.4998939037323,350.0
54,0.6782,2694.5528378486633,260.13842185392105
55,0.6889,2744.837743282318,90.87953774468613
56,0.6885,2794.8397541046143,187.20724416501642
57,0.6805,2809.9134232997894,104.24616349870709
58,0.6946,2861.956637620926,58.50320389111993
59,0.6903,2906.3361637592316,111.49640961356394
60,0.6934,2958.597739458084,66.76171858348533
61,0.6964,3008.7545034885406,73.92103783871697
62,0.7035,3058.9335494041443,87.84713788119277
63,0.7014,3110.88227891922,141.0987948830406
64,0.6958,3161.4276485443115,107.66175686513087
65,0.708,3211.956637620926,350.0
66,0.7018,3262.3819077014923,197.79459791770194
67,0.7016,3313.1909730434418,82.48358429848568
68,0.7066,3363.839069366455,235.8548313914265
69,0.7013,3393.057457447052,181.10081989259464
70,0.717,3444.0803232192993,79.27367592219687
71,0.711,3492.296718120575,124.19961666879001
72,0.711,3542.598548412323,77.20289273194354
73,0.7094,3592.9537873268127,106.42640312978205
74,0.7038,3643.9949190616608,111.49640961356394
75,0.7188,3694.360931158066,163.73531731823215
76,0.7153,3747.0268898010254,187.20724416501642
77,0.7163,3797.1697764396667,107.66175686513087
78,0.7148,3847.8927578926086,82.48358429848568
79,0.7181,3898.7271032333374,197.79459791770194
80,0.7146,3948.7422387599945,168.25690413345262
81,0.7152,3999.551304101944,242.9443154653758
82,0.7117,4049.784450531006,119.17898297790778
83,0.7177,4100.618795871735,97.84983134299804
84,0.7159,4154.340248584747,181.10081989259464
85,0.717,4204.979400873184,163.73531731823215
86,0.7115,4255.336878538132,77.64321261855713
87,0.7222,4305.762148618698,235.8548313914265
88,0.7235,4355.99529504776,119.17898297790778
89,0.7258,4406.35053396225,111.49640961356394
90,0.7241,4456.445173025131,106.52591830334157
91,0.728,4506.585967063904,80.58448390400947
92,0.7223,4557.824814319611,78.7090487583187
93,0.7274,4610.460407733917,211.77779119989435
94,0.7256,4661.241283655167,181.10081989259464
95,0.7325,4711.4971516132355,104.24616349870709
96,0.7287,4761.63741517067,80.72141690395256
97,0.7267,4812.434346675873,81.89476809324553
98,0.7275,4862.866921186447,350.0
99,0.7249,4913.442461967468,140.32696065609778
100,0.7281,4965.4627187252045,97.85525889943824
101,0.7252,5017.541003227234,235.71986404341004
102,0.7235,5067.825908660889,350.0
103,0.7263,5118.535437345505,76.65175821200532
104,0.7326,5168.587801456451,101.03674380548021
105,0.7346,5218.7548151016235,84.34603007483662
106,0.7321,5268.80717921257,350.0
107,0.7319,5319.382719993591,97.84983134299804
108,0.7277,5373.472177028656,104.741120315662
109,0.7363,5425.290098905563,242.9443154653758
110,0.7372,5476.134945392609,77.20289273194354
111,0.7402,5526.758554697037,209.450684482246
112,0.7393,5580.896875143051,99.23926060813373
113,0.7347,5631.250195264816,100.33147840807555
114,0.7244,5682.526030063629,335.98720212442464
115,0.7403,5732.883507728577,118.49922217195443
116,0.7376,5785.265553712845,58.50320389111993
117,0.7417,5837.9011471271515,96.74886348211058
118,0.7333,5889.944361448288,235.8548313914265
119,0.7392,5941.229339361191,93.02438172321882
120,0.7407,5994.008652925491,118.49922217195443
