round,accuracy,elapsed_time,comm_time,round_time
1,0.1,23.000000476837158,0,23
2,0.1,70.00000047683716,0,70
3,0.1001,82.00000047683716,0,70
4,0.1204,109.00000047683716,0,70
5,0.1109,140.00000047683716,0,70
6,0.1314,152.00000047683716,0,70
7,0.1249,166.00000047683716,0,48
8,0.1782,195.00000047683716,0,70
9,0.1899,222.00000047683716,0,70
10,0.1692,236.00000047683716,0,70
11,0.2063,270.00000047683716,0,70
12,0.2953,292.00000047683716,0,70
13,0.3256,306.00000047683716,0,70
14,0.2654,340.00000047683716,0,70
15,0.3489,362.00000047683716,0,70
16,0.3469,376.00000047683716,0,70
17,0.3505,410.00000047683716,0,70
18,0.3363,446.00000047683716,0,70
19,0.3594,478.00000047683716,0,70
20,0.343,499.00000047683716,0,70
21,0.3927,516.0000004768372,0,70
22,0.3082,548.0000004768372,0,70
23,0.3705,569.0000004768372,0,70
24,0.3345,586.0000004768372,0,70
25,0.3779,618.0000004768372,0,70
26,0.3458,639.0000004768372,0,70
27,0.403,656.0000004768372,0,70
28,0.3765,685.0000004768372,0,57
29,0.3765,700.0000004768372,0,70
30,0.3735,718.0000004768372,0,70
31,0.3717,755.0000004768372,0,70
32,0.3653,770.0000004768372,0,70
33,0.3775,786.0000004768372,0,70
34,0.4071,798.0000004768372,0,70
35,0.4177,825.0000004768372,0,70
36,0.398,856.0000004768372,0,70
37,0.3532,895.0000004768372,0,70
38,0.4441,917.0000004768372,0,70
39,0.4478,932.0000004768372,0,70
40,0.385,965.0000004768372,0,70
41,0.4308,987.0000004768372,0,70
42,0.4283,999.0000004768372,0,70
43,0.4608,1017.0000004768372,0,70
44,0.421,1031.0000004768372,0,39
45,0.3588,1047.0000004768372,0,70
46,0.4047,1076.0000004768372,0,70
47,0.4342,1117.0000004768372,0,70
48,0.4148,1143.0000004768372,0,70
49,0.3658,1168.0000004768372,0,70
50,0.4084,1187.0000004768372,0,70
51,0.4378,1213.0000004768372,0,70
52,0.4306,1238.0000004768372,0,70
53,0.4886,1271.0000004768372,0,70
54,0.4816,1289.0000004768372,0,70
55,0.4285,1308.0000004768372,0,70
56,0.4628,1329.0000004768372,0,70
57,0.4538,1350.0000004768372,0,70
58,0.4642,1365.0000004768372,0,70
59,0.4755,1385.0000004768372,0,70
60,0.4639,1420.0000004768372,0,70
61,0.4748,1435.0000004768372,0,70
62,0.5003,1455.0000004768372,0,70
63,0.4741,1474.0000004768372,0,70
64,0.4537,1490.0000004768372,0,70
65,0.4327,1505.0000004768372,0,70
66,0.4743,1525.0000004768372,0,70
67,0.4527,1548.0000004768372,0,70
68,0.444,1575.0000004768372,0,70
69,0.5035,1595.0000004768372,0,70
70,0.4252,1618.0000004768372,0,70
71,0.4722,1645.0000004768372,0,70
72,0.4296,1686.0000004768372,0,70
73,0.51,1705.0000004768372,0,70
74,0.4976,1716.0000004768372,0,70
75,0.5006,1746.0000004768372,0,33
76,0.4692,1784.0000004768372,0,70
77,0.4966,1814.0000004768372,0,70
78,0.4768,1826.0000004768372,0,70
79,0.5006,1854.0000004768372,0,70
80,0.4277,1884.0000004768372,0,70
81,0.2691,1896.0000004768372,0,70
82,0.4825,1924.0000004768372,0,70
83,0.4846,1936.0000004768372,0,70
84,0.4576,1954.0000004768372,0,45
85,0.4914,1994.0000004768372,0,70
86,0.4855,2007.0000004768372,0,70
87,0.5096,2037.0000004768372,0,70
88,0.4768,2064.000000476837,0,70
