round,accuracy,elapsed_time,comm_time,round_time
1,0.0999,23.00000023841858,0,23
2,0.0999,70.00000023841858,0,70
3,0.0998,82.00000023841858,0,70
4,0.1025,94.00000023841858,0,70
5,0.1001,130.00000023841858,0,60
6,0.1001,152.00000023841858,0,70
7,0.1,165.00000023841858,0,70
8,0.1,200.00000023841858,0,70
9,0.1,222.00000023841858,0,70
10,0.1,235.00000023841858,0,70
11,0.1,248.00000023841858,0,70
12,0.1,305.0000002384186,0,70
13,0.1,318.0000002384186,0,70
14,0.1,329.0000002384186,0,70
15,0.1,365.0000002384186,0,47
16,0.1,377.0000002384186,0,70
17,0.1,390.0000002384186,0,70
18,0.1,401.0000002384186,0,70
19,0.1,413.0000002384186,0,13
20,0.1,434.0000002384186,0,29
21,0.1,446.0000002384186,0,70
22,0.1,471.0000002384186,0,70
23,0.1,485.0000002384186,0,70
24,0.1,516.0000002384186,0,70
25,0.1,541.0000002384186,0,70
26,0.1019,553.0000002384186,0,70
27,0.1113,565.0000002384186,0,70
28,0.1007,576.0000002384186,0,26
29,0.1098,587.0000002384186,0,70
30,0.103,598.0000002384186,0,48
31,0.1147,609.0000002384186,0,24
32,0.1125,620.0000002384186,0,12
33,0.1098,623.0000002384186,0,70
