round,accuracy,elapsed_time,comm_time,round_time
1,0.1,23.000000476837158,0,23
2,0.1,70.00000047683716,0,70
3,0.1,81.00000047683716,0,70
4,0.104,94.00000047683716,0,70
5,0.1363,125.00000047683716,0,33
6,0.1152,158.00000047683716,0,70
7,0.1456,195.00000047683716,0,70
8,0.2064,209.00000047683716,0,70
9,0.2036,231.00000047683716,0,70
10,0.2404,265.00000047683716,0,70
11,0.3353,279.00000047683716,0,70
12,0.2568,301.00000047683716,0,70
13,0.2769,335.00000047683716,0,70
14,0.3257,349.00000047683716,0,70
15,0.355,365.00000047683716,0,70
16,0.3669,380.00000047683716,0,70
17,0.3612,419.00000047683716,0,70
18,0.3809,450.00000047683716,0,70
19,0.3451,464.00000047683716,0,70
20,0.3021,487.00000047683716,0,68
21,0.3362,503.00000047683716,0,70
22,0.3492,534.0000004768372,0,70
23,0.3624,557.0000004768372,0,70
24,0.3705,573.0000004768372,0,70
25,0.3601,604.0000004768372,0,70
26,0.3595,627.0000004768372,0,70
27,0.3826,643.0000004768372,0,70
28,0.4155,674.0000004768372,0,70
29,0.4543,685.0000004768372,0,70
30,0.4193,697.0000004768372,0,70
31,0.3592,748.0000004768372,0,70
32,0.4468,767.0000004768372,0,70
33,0.4473,779.0000004768372,0,70
34,0.4615,818.0000004768372,0,70
35,0.4468,837.0000004768372,0,70
36,0.4338,852.0000004768372,0,70
37,0.4151,888.0000004768372,0,70
38,0.4373,920.0000004768372,0,70
39,0.4104,942.0000004768372,0,70
40,0.4138,958.0000004768372,0,70
41,0.4618,990.0000004768372,0,70
42,0.4635,1021.0000004768372,0,70
43,0.4739,1047.0000004768372,0,70
44,0.4786,1062.0000004768372,0,70
45,0.4636,1091.0000004768372,0,70
46,0.4644,1117.0000004768372,0,70
47,0.4789,1131.0000004768372,0,70
48,0.4975,1161.0000004768372,0,70
49,0.482,1201.0000004768372,0,70
50,0.4546,1213.0000004768372,0,70
51,0.4717,1231.0000004768372,0,70
52,0.4239,1271.0000004768372,0,70
53,0.4894,1283.0000004768372,0,70
54,0.4936,1301.0000004768372,0,70
55,0.4699,1328.0000004768372,0,70
56,0.4552,1345.0000004768372,0,70
57,0.4573,1371.0000004768372,0,70
58,0.4176,1383.0000004768372,0,70
59,0.4983,1413.0000004768372,0,70
60,0.5004,1441.0000004768372,0,70
61,0.4669,1459.0000004768372,0,70
62,0.4636,1511.0000004768372,0,70
63,0.494,1529.0000004768372,0,70
64,0.4635,1581.0000004768372,0,70
65,0.485,1599.0000004768372,0,70
66,0.4776,1623.0000004768372,0,70
67,0.5001,1651.0000004768372,0,70
68,0.518,1680.0000004768372,0,70
69,0.5059,1699.0000004768372,0,70
70,0.444,1721.0000004768372,0,70
71,0.5091,1750.0000004768372,0,70
72,0.4842,1769.0000004768372,0,70
73,0.5034,1799.0000004768372,0,70
74,0.4891,1820.0000004768372,0,70
75,0.5399,1839.0000004768372,0,70
76,0.5148,1875.0000004768372,0,70
77,0.5277,1890.0000004768372,0,70
78,0.5157,1909.0000004768372,0,70
79,0.4826,1923.0000004768372,0,70
80,0.5089,1960.0000004768372,0,70
81,0.5141,1980.0000004768372,0,70
82,0.5368,1993.0000004768372,0,70
83,0.5126,2019.0000004768372,0,70
84,0.5359,2031.0000004768372,0,70
85,0.5369,2050.000000476837,0,70
86,0.5404,2066.000000476837,0,70
87,0.5169,2120.000000476837,0,70
88,0.5204,2136.000000476837,0,70
