round,accuracy,elapsed_time,comm_time,round_time
1,0.4841,115.00000047683716,0,115
2,0.8224,350.00000047683716,0,350
3,0.7677,405.00000047683716,0,350
4,0.9084,470.00000047683716,0,350
5,0.9292,625.0000004768372,0,165
6,0.9275,790.0000004768372,0,350
7,0.9435,975.0000004768372,0,350
8,0.9401,1045.0000004768372,0,350
9,0.9478,1155.0000004768372,0,350
10,0.9428,1325.0000004768372,0,350
11,0.9479,1395.0000004768372,0,350
12,0.9476,1505.0000004768372,0,350
13,0.948,1675.0000004768372,0,350
14,0.9494,1745.0000004768372,0,350
15,0.9515,1825.0000004768372,0,350
16,0.9513,1900.0000004768372,0,350
17,0.9517,2095.000000476837,0,350
18,0.9527,2250.000000476837,0,350
19,0.9541,2320.000000476837,0,350
20,0.9568,2435.000000476837,0,340
21,0.954,2515.000000476837,0,350
22,0.9528,2670.000000476837,0,350
23,0.9563,2785.000000476837,0,350
24,0.9539,2865.000000476837,0,350
25,0.9541,3020.000000476837,0,350
26,0.9565,3135.000000476837,0,350
27,0.9567,3215.000000476837,0,350
28,0.9579,3370.000000476837,0,350
29,0.9563,3425.000000476837,0,350
30,0.9572,3485.000000476837,0,350
31,0.957,3740.000000476837,0,350
32,0.9563,3835.000000476837,0,350
33,0.9571,3895.000000476837,0,350
34,0.9585,4090.000000476837,0,350
35,0.9587,4185.000000476837,0,350
36,0.9587,4260.000000476837,0,350
37,0.9591,4440.000000476837,0,350
38,0.9601,4600.000000476837,0,350
39,0.9593,4710.000000476837,0,350
40,0.9582,4790.000000476837,0,350
41,0.9582,4950.000000476837,0,350
42,0.9584,5105.000000476837,0,350
43,0.9579,5235.000000476837,0,350
44,0.9586,5310.000000476837,0,350
45,0.9589,5455.000000476837,0,350
46,0.9604,5585.000000476837,0,350
47,0.9606,5655.000000476837,0,350
48,0.9603,5805.000000476837,0,350
49,0.9607,6005.000000476837,0,350
50,0.9613,6065.000000476837,0,350
51,0.9599,6155.000000476837,0,350
52,0.9609,6355.000000476837,0,350
53,0.9592,6415.000000476837,0,350
54,0.9597,6505.000000476837,0,350
55,0.963,6640.000000476837,0,350
56,0.9615,6725.000000476837,0,350
57,0.9615,6855.000000476837,0,350
58,0.9619,6915.000000476837,0,350
59,0.9627,7065.000000476837,0,350
60,0.9623,7205.000000476837,0,350
61,0.9599,7295.000000476837,0,350
62,0.9634,7555.000000476837,0,350
63,0.9625,7645.000000476837,0,350
64,0.9603,7905.000000476837,0,350
65,0.9628,7995.000000476837,0,350
66,0.9625,8115.000000476837,0,350
67,0.9638,8255.000000476837,0,350
68,0.9626,8400.000000476837,0,350
69,0.9626,8495.000000476837,0,350
70,0.9631,8605.000000476837,0,350
71,0.964,8750.000000476837,0,350
72,0.9619,8845.000000476837,0,350
73,0.9632,8995.000000476837,0,350
74,0.9638,9100.000000476837,0,350
75,0.9627,9195.000000476837,0,350
76,0.9612,9375.000000476837,0,350
77,0.9633,9450.000000476837,0,350
78,0.9642,9545.000000476837,0,350
79,0.963,9615.000000476837,0,350
80,0.9629,9800.000000476837,0,350
81,0.9632,9900.000000476837,0,350
82,0.9644,9965.000000476837,0,350
83,0.9641,10095.000000476837,0,350
84,0.9643,10155.000000476837,0,350
85,0.9622,10250.000000476837,0,350
86,0.9637,10330.000000476837,0,350
87,0.9644,10600.000000476837,0,350
88,0.9635,10680.000000476837,0,350
89,0.9632,10745.000000476837,0,350
90,0.9639,10950.000000476837,0,350
91,0.9652,11030.000000476837,0,350
92,0.9641,11095.000000476837,0,350
93,0.9634,11300.000000476837,0,350
94,0.9638,11380.000000476837,0,350
95,0.9638,11445.000000476837,0,350
96,0.9644,11565.000000476837,0,350
97,0.9634,11715.000000476837,0,350
98,0.9639,11795.000000476837,0,350
99,0.9645,11915.000000476837,0,350
100,0.9646,11975.000000476837,0,350
