round,accuracy,elapsed_time,comm_time,round_time
1,0.7022,115.00000071525574,0,115
2,0.8557,350.00000071525574,0,350
3,0.7744,410.00000071525574,0,350
4,0.9269,540.0000007152557,0,350
5,0.9343,700.0000007152557,0,350
6,0.925,760.0000007152557,0,350
7,0.9392,825.0000007152557,0,240
8,0.9377,970.0000007152557,0,350
9,0.9393,1110.0000007152557,0,350
10,0.943,1175.0000007152557,0,350
11,0.9452,1320.0000007152557,0,350
12,0.9455,1460.0000007152557,0,350
13,0.9441,1525.0000007152557,0,350
14,0.9474,1670.0000007152557,0,350
15,0.9487,1810.0000007152557,0,350
16,0.9491,1875.0000007152557,0,350
17,0.951,2020.0000007152557,0,350
18,0.9507,2225.0000007152557,0,350
19,0.9511,2360.0000007152557,0,350
20,0.9524,2420.0000007152557,0,350
21,0.9544,2575.0000007152557,0,350
22,0.953,2640.0000007152557,0,350
23,0.9515,2710.0000007152557,0,350
24,0.9559,2775.0000007152557,0,350
25,0.9545,2860.0000007152557,0,195
26,0.9547,3060.0000007152557,0,350
27,0.955,3210.0000007152557,0,350
28,0.9553,3270.0000007152557,0,350
29,0.9569,3410.0000007152557,0,350
30,0.958,3470.0000007152557,0,350
31,0.9587,3590.0000007152557,0,350
32,0.9581,3740.0000007152557,0,350
33,0.9571,3850.0000007152557,0,350
34,0.9581,3940.0000007152557,0,350
35,0.9577,4090.0000007152557,0,350
36,0.9582,4165.000000715256,0,350
37,0.9593,4240.000000715256,0,350
38,0.9586,4440.000000715256,0,350
39,0.9607,4515.000000715256,0,350
40,0.9613,4600.000000715256,0,350
41,0.9598,4790.000000715256,0,350
42,0.9597,4865.000000715256,0,350
43,0.9601,4950.000000715256,0,350
44,0.9597,5140.000000715256,0,350
45,0.9613,5300.000000715256,0,350
46,0.9585,5490.000000715256,0,350
47,0.9609,5605.000000715256,0,350
48,0.9614,5830.000000715256,0,350
49,0.9607,5885.000000715256,0,350
50,0.9621,6025.000000715256,0,350
51,0.9621,6180.000000715256,0,350
52,0.9613,6275.000000715256,0,350
53,0.9611,6375.000000715256,0,350
54,0.9623,6530.000000715256,0,350
55,0.9623,6725.000000715256,0,350
56,0.9622,6880.000000715256,0,350
57,0.9625,7075.000000715256,0,350
58,0.9613,7220.000000715256,0,350
59,0.9624,7300.000000715256,0,350
60,0.9622,7425.000000715256,0,350
61,0.9622,7570.000000715256,0,350
62,0.9618,7650.000000715256,0,350
63,0.9612,7775.000000715256,0,350
64,0.9619,7855.000000715256,0,350
65,0.9614,8110.000000715256,0,350
66,0.9612,8205.000000715256,0,350
67,0.9613,8280.000000715256,0,350
68,0.9614,8430.000000715256,0,255
69,0.9625,8585.000000715256,0,350
70,0.963,8660.000000715256,0,350
71,0.9631,8780.000000715256,0,350
72,0.9628,8935.000000715256,0,350
73,0.963,9040.000000715256,0,350
74,0.9636,9130.000000715256,0,350
75,0.9625,9285.000000715256,0,350
76,0.9625,9390.000000715256,0,350
77,0.9623,9485.000000715256,0,350
78,0.9612,9625.000000715256,0,165
79,0.963,9680.000000715256,0,350
80,0.9623,9835.000000715256,0,350
81,0.9624,9990.000000715256,0,350
82,0.9634,10185.000000715256,0,350
83,0.9627,10280.000000715256,0,350
84,0.9631,10345.000000715256,0,350
85,0.9631,10475.000000715256,0,150
86,0.963,10535.000000715256,0,350
87,0.964,10825.000000715256,0,350
88,0.9628,10885.000000715256,0,350
89,0.9619,11050.000000715256,0,350
90,0.9625,11175.000000715256,0,350
91,0.9633,11240.000000715256,0,350
92,0.9634,11400.000000715256,0,350
93,0.9636,11525.000000715256,0,350
94,0.9632,11605.000000715256,0,350
95,0.9634,11750.000000715256,0,350
96,0.964,11875.000000715256,0,350
97,0.9639,11955.000000715256,0,350
98,0.964,12030.000000715256,0,150
99,0.9623,12225.000000715256,0,350
100,0.9641,12310.000000715256,0,350
101,0.963,12385.000000715256,0,350
102,0.9632,12575.000000715256,0,350
103,0.9633,12660.000000715256,0,350
104,0.9633,12735.000000715256,0,350
105,0.9632,12890.000000715256,0,350
106,0.9639,13010.000000715256,0,350
107,0.9636,13240.000000715256,0,350
108,0.9639,13360.000000715256,0,350
109,0.9645,13460.000000715256,0,350
110,0.9636,13710.000000715256,0,350
111,0.9633,13810.000000715256,0,350
112,0.9633,14060.000000715256,0,350
113,0.9632,14160.000000715256,0,350
114,0.9628,14220.000000715256,0,350
115,0.9628,14460.000000715256,0,350
116,0.9635,14570.000000715256,0,350
117,0.9628,14810.000000715256,0,350
118,0.9626,14920.000000715256,0,350
119,0.9632,14985.000000715256,0,350
120,0.9635,15270.000000715256,0,350
121,0.9633,15335.000000715256,0,350
122,0.9634,15440.000000715256,0,350
123,0.9629,15620.000000715256,0,350
124,0.9634,15690.000000715256,0,350
125,0.9635,15970.000000715256,0,350
126,0.963,16040.000000715256,0,350
127,0.9631,16190.000000715256,0,350
128,0.9639,16340.000000715256,0,350
129,0.9641,16540.000000715256,0,350
130,0.9634,16690.000000715256,0,350
131,0.9637,16800.000000715256,0,350
132,0.9637,16890.000000715256,0,350
133,0.9637,17040.000000715256,0,350
134,0.9636,17175.000000715256,0,350
135,0.9639,17390.000000715256,0,350
136,0.9637,17525.000000715256,0,350
137,0.964,17690.000000715256,0,350
138,0.9639,17760.000000715256,0,350
139,0.9639,17875.000000715256,0,350
140,0.9643,18005.000000715256,0,350
141,0.9638,18110.000000715256,0,350
142,0.9642,18225.000000715256,0,350
143,0.9639,18355.000000715256,0,350
144,0.964,18460.000000715256,0,350
145,0.9639,18705.000000715256,0,350
146,0.9639,18810.000000715256,0,350
147,0.9639,19050.000000715256,0,350
148,0.9642,19160.000000715256,0,350
149,0.9644,19220.000000715256,0,350
150,0.964,19400.000000715256,0,350
